name,paper_label,ebm_label,ebm_pval_winning,ebm_pval_losing,score
IC2247,SW,W,2.19E-05,1.00E+00,1
IC540,SW,W,5.24E-16,1.00E+00,1
IC944,SW,S,4.96E-64,1.00E+00,1
MCG-02-02-040,NW,NW,3.60E-05,6.89E-03,1
MCG-02-03-015,NW,W,6.19E-22,1.00E+00,1
NGC1542,SW,SW,1.51E-18,1.00E+00,1
NGC3067,NE,NE,1.40E-24,1.00E+00,1
NGC3079,SW,W,3.42E-29,1.00E+00,1
NGC3169,SE,SE,1.32E-202,1.00E+00,1
NGC3495,NW,NW,1.83E-04,7.40E-01,1
NGC3626,W,W,1.64E-63,5.77E-03,1
NGC4517,NW,N,2.10E-223,1.31E-11,1
NGC4605,NE,NE,1.06E-25,1.00E+00,1
NGC4772,NE,E,2.50E-10,3.35E-01,1
NGC6314,W,W,5.18E-72,1.00E+00,1
NGC681,NW,NW,7.72E-118,1.00E+00,1
UGC10205,SW,SW,2.15E-25,1.00E+00,1
UGC10297,W,W,3.46E-14,1.00E+00,1
UGC3107,SE,S,1.47E-10,1.00E+00,1
UGC5111,SW,SW,5.92E-22,1.00E+00,1
UGC5498,NW,NW,2.96E-05,3.16E-02,1
UGC6036,NE,N,2.78E-07,1.00E+00,1
UGC8267,NW,NW,1.05E-04,1.00E+00,1
UGC8778,NE,N,2.27E-19,1.00E+00,1
UGC9665,NE,NE,1.31E-07,1.00E+00,1
