name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_label,g-z_score,g-y_pos_mean,g-y_neg_mean,g-y_mean_diff,g-y_label,g-y_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_label,r-z_score,r-y_pos_mean,r-y_neg_mean,r-y_mean_diff,r-y_label,r-y_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_label,i-z_score,i-y_pos_mean,i-y_neg_mean,i-y_mean_diff,i-y_label,i-y_score,z-y_pos_mean,z-y_neg_mean,z-y_mean_diff,z-y_label,z-y_score,total,score,GOFHER_label
IC2247,SW,NE,SW,0.06090409154395503,0.03485709097274668,0.026047000571208345,SW,1,0.07163785374707285,0.02979975426569581,0.04183809948137704,SW,1,0.1214090157040371,0.05505058208204589,0.0663584336219912,SW,1,0.12294808971909929,0.046321456712169876,0.07662663300692941,SW,1,0.010733762203117815,-0.0050573367070508735,0.015791098910168687,SW,1,0.060504924160082074,0.020193491109299206,0.04031143305078287,SW,1,0.062043998175144256,0.011464365739423195,0.05057963243572106,SW,1,0.04977116195696426,0.025250827816350078,0.02452033414061418,SW,1,0.05131023597202644,0.01652170244647407,0.034788533525552376,SW,1,0.0015390740150621814,-0.00872912536987601,0.010268199384938193,SW,1,10,1,SW
IC540,SW,E,W,0.06072791200880336,0.025225632757982928,0.03550227925082043,W,1,0.07702896179856888,0.013690406922250986,0.0633385548763179,W,1,0.10771326662083042,0.02143999271801104,0.08627327390281937,W,1,0.10883151695043934,0.005439123174725663,0.10339239377571367,W,1,0.01630104978976552,-0.01153522583573194,0.02783627562549746,W,1,0.046985354612027054,-0.003785640039971886,0.05077099465199894,W,1,0.04810360494163597,-0.019786509583257263,0.06789011452489324,W,1,0.030684304822261536,0.007749585795760055,0.02293471902650148,W,1,0.03180255515187045,-0.008251283747525323,0.040053838899395774,W,1,0.0011182503296089162,-0.01600086954328538,0.017119119872894297,W,1,10,1,W
IC944,SW,N,S,0.032605221684767594,0.0056271172477216575,0.026978104437045937,S,1,0.060884596314281225,0.011770226712234507,0.049114369602046716,S,1,0.07193244289381209,0.009694371267766625,0.06223807162604547,S,1,0.07822690007502071,0.006745908555487422,0.0714809915195333,S,1,0.02827937462951363,0.006143109464512849,0.022136265165000783,S,1,0.039327221209044506,0.004067254020044968,0.03525996718899954,S,1,0.04562167839025312,0.0011187913077657639,0.044502887082487355,S,1,0.011047846579530873,-0.0020758554444678815,0.013123702023998755,S,1,0.01734230376073949,-0.005024318156747086,0.022366621917486576,S,1,0.0062944571812086165,-0.002948462712279204,0.00924291989348782,S,1,10,1,S
MCG-02-02-040,NW,NW,SE,-0.07105409940391602,-0.11456411180027115,0.04351001239635513,SE,-1,0.008538437374893898,-0.038919049277447944,0.04745748665234184,SE,-1,0.04466413512049966,0.012335213759596446,0.032328921360903214,SE,-1,0.06088581037368127,0.04717885206132843,0.013706958312352843,SE,-1,0.07959253677880992,0.0756450625228232,0.003947474255986724,SE,-1,0.11571823452441568,0.1268993255598676,-0.011181091035451923,NW,1,0.1319399097775973,0.1617429638615996,-0.0298030540840023,NW,1,0.03612569774560576,0.05125426303704439,-0.015128565291438627,NW,1,0.05234737299878737,0.08609790133877637,-0.033750528339989004,NW,1,0.01622167525318161,0.03484363830173198,-0.018621963048550374,NW,1,0,0,-
MCG-02-03-015,NW,NW,SE,-0.0009187665012944873,0.014792524409740463,-0.01571129091103495,NW,1,0.005365336308861343,0.03355826666337409,-0.028192930354512744,NW,1,0.0014477689388311572,0.03753170961065276,-0.03608394067182161,NW,1,-0.0018996233731860854,0.03990856261483481,-0.04180818598802089,NW,1,0.00628410281015583,0.018765742253633626,-0.012481639443477795,NW,1,0.0023665354401256446,0.022739185200912296,-0.020372649760786652,NW,1,-0.0009808568718915982,0.025116038205094345,-0.026096895076985944,NW,1,-0.003917567370030186,0.003973442947278671,-0.007891010317308857,NW,1,-0.007264959682047429,0.006350295951460719,-0.013615255633508148,NW,1,-0.0033473923120172426,0.0023768530041820483,-0.005724245316199291,NW,1,10,1,NW
NGC1542,SW,NE,SW,0.0650423418336634,0.02444995451454677,0.040592387319116637,SW,1,0.11900980600324103,0.044174229685636085,0.07483557631760494,SW,1,0.13745593253752864,0.0427767811508648,0.09467915138666383,SW,1,0.14302296509211349,0.030985861811571258,0.11203710328054223,SW,1,0.053967464169577616,0.019724275171089312,0.0342431889984883,SW,1,0.07241359070386524,0.01832682663631803,0.05408676406754721,SW,1,0.0779806232584501,0.006535907297024489,0.0714447159614256,SW,1,0.018446126534287625,-0.0013974485347712825,0.019843575069058907,SW,1,0.02401315908887247,-0.013188367874064825,0.0372015269629373,SW,1,0.005567032554584846,-0.011790919339293542,0.017357951893878388,SW,1,10,1,SW
NGC3067,NE,NE,SW,0.04022332028496579,0.06209826277246039,-0.0218749424874946,NE,1,0.037019508701869284,0.06932900029503507,-0.03230949159316578,NE,1,0.05671299552730776,0.10056010494753621,-0.04384710942022845,NE,1,0.04255475671494289,0.09205575849628381,-0.04950100178134092,NE,1,-0.0032038115830965025,0.007230737522574678,-0.010434549105671181,NE,1,0.016489675242341975,0.03846184217507582,-0.021972166932733843,NE,1,0.0023314364299771005,0.029957495723823425,-0.027626059293846324,NE,1,0.019693486825438478,0.03123110465250114,-0.011537617827062661,NE,1,0.0055352480130736025,0.022726758201248747,-0.017191510188175142,NE,1,-0.014158238812364877,-0.008504346451252394,-0.005653892361112483,NE,1,10,1,NE
NGC3079,SW,E,W,0.05846196772163021,-0.07042316911706756,0.12888513683869776,W,1,0.30011238196647383,0.03560390336625783,0.264508478600216,W,1,0.38735622009182463,0.07020653492612083,0.3171496851657038,W,1,0.42539793076722365,0.0873273528193636,0.33807057794786005,W,1,0.2416504142448436,0.1060270724833254,0.1356233417615182,W,1,0.32889425237019443,0.1406297040431884,0.18826454832700604,W,1,0.36693596304559345,0.15775052193643116,0.2091854411091623,W,1,0.0872438381253508,0.034602631559863,0.052641206565487805,W,1,0.12528554880074982,0.05172344945310577,0.07356209934764404,W,1,0.038041710675399014,0.01712081789324277,0.020920892782156243,W,1,10,1,W
NGC3169,SE,NW,SE,0.0420212444239887,-0.006771140988625829,0.048792385412614526,SE,1,0.08100842877226595,0.016072913188177183,0.06493551558408878,SE,1,0.10700191171067783,0.03656096407489184,0.07044094763578598,SE,1,0.10731235593348837,0.02999049806559819,0.07732185786789017,SE,1,0.038987184348277255,0.022844054176803012,0.016143130171474243,SE,1,0.06498066728668912,0.043332105063517666,0.021648562223171457,SE,1,0.06529111150949968,0.03676163905422402,0.028529472455275658,SE,1,0.02599348293841187,0.020488050886714657,0.0055054320516972136,SE,1,0.02630392716122241,0.013917584877421008,0.012386342283801404,SE,1,0.00031044422281054323,-0.006570466009293649,0.006880910232104192,SE,1,10,1,SE
NGC3495,NW,W,E,-0.02466499606475458,-0.011668197763981496,-0.012996798300773086,W,1,0.008321377016306095,0.0316755347820922,-0.02335415776578611,W,1,0.0028658997769774276,0.034667437654464776,-0.03180153787748735,W,1,-0.04302902710286942,-0.012014252471739316,-0.0310147746311301,W,1,0.03298637308106068,0.043343732546073696,-0.010357359465013018,W,1,0.02753089584173201,0.04633563541844627,-0.01880473957671426,W,1,-0.018364031038114837,-0.00034605470775782017,-0.018017976330357018,W,1,-0.005455477239328667,0.0029919028723725777,-0.008447380111701245,W,1,-0.05135040411917551,-0.04368978725383152,-0.007660616865343993,W,1,-0.045894926879846844,-0.046681690126204094,0.0007867632463572499,E,-1,8,1,W
