name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_ks_stat,g-r_ks_pval,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_ks_stat,g-i_ks_pval,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_ks_stat,g-z_ks_pval,g-z_label,g-z_score,g-y_pos_mean,g-y_neg_mean,g-y_mean_diff,g-y_ks_stat,g-y_ks_pval,g-y_label,g-y_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_ks_stat,r-i_ks_pval,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_ks_stat,r-z_ks_pval,r-z_label,r-z_score,r-y_pos_mean,r-y_neg_mean,r-y_mean_diff,r-y_ks_stat,r-y_ks_pval,r-y_label,r-y_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_ks_stat,i-z_ks_pval,i-z_label,i-z_score,i-y_pos_mean,i-y_neg_mean,i-y_mean_diff,i-y_ks_stat,i-y_ks_pval,i-y_label,i-y_score,z-y_pos_mean,z-y_neg_mean,z-y_mean_diff,z-y_ks_stat,z-y_ks_pval,z-y_label,z-y_score,total,score
IC750,SE,NW,SE,0.02611057006068573,0.03033201631481325,-0.004221446254127521,0.20649819494584837,1.0741843941578897e-05,NW,-1,0.041171404394582195,0.047374188620646684,-0.006202784226064489,0.18553378029912326,0.00010968988072963286,NW,-1,0.03743806022138367,0.03042305822957731,0.007015001991806359,0.1435662712738525,0.0055540909486371986,SE,1,0.028531577336646616,0.017868797317312085,0.01066278001933453,0.21491748323878287,3.813272155258086e-06,SE,1,0.01506083433389646,0.017042172305833433,-0.0019813379719369733,0.13327746260959258,0.012413858427092674,NW,-1,0.011327490160697937,9.10419147640566e-05,0.01123644824593388,0.3361913357400722,1.6237806627120188e-14,SE,1,0.002421007275960884,-0.01246321899750117,0.014884226273462054,0.26686436307374933,3.2616394399617593e-09,SE,1,-0.003733344173198521,-0.016951130391069377,0.013217786217870856,0.5425605982465188,3.747463295519417e-38,SE,1,-0.012639827057935574,-0.0295053913033346,0.016865564245399027,0.286397627643115,1.2650338411442564e-10,SE,1,-0.008906482884737053,-0.012554260912265226,0.0036477780275281733,0.1593604951005673,0.0014321436520767774,SE,1,4,1
IC764,E,E,W,0.02561648674103162,0.028589374774327807,-0.0029728880332961886,0.0678617157490397,0.05480343591604585,E,1,0.0503616125373505,0.05690054429330902,-0.006538931755958523,0.11651728553137004,4.8827491443973995e-05,E,1,0.045819920552445235,0.054585002053656975,-0.00876508150121174,0.11267605633802817,9.736456518645409e-05,E,1,0.03708485722528288,0.05098133176801941,-0.013896474542736528,0.17797695262483995,3.211014807784574e-11,E,1,0.024745125796318875,0.028311169518981213,-0.0035660437226623376,0.07682458386683738,0.019882501906171836,E,1,0.020203433811413624,0.025995627279329178,-0.0057921934679155546,0.15492957746478872,1.354952621601011e-08,E,1,0.011468370484251261,0.022391956993691606,-0.010923586509440345,0.1882202304737516,1.6621204648997556e-12,E,1,-0.004541691984905256,-0.002315542239652039,-0.002226149745253217,0.05505761843790013,0.1873413225557942,E,1,-0.013276755312067616,-0.005919212525289608,-0.007357542786778008,0.18309859154929578,7.461943813274057e-12,E,1,-0.00873506332716236,-0.00360367028563757,-0.005131393041524789,0.19846350832266324,7.260057263747707e-14,E,1,10,1
NGC1309,SW,NW,SE,0.009052023556723385,0.010738266824579429,-0.0016862432678560434,0.2360889766784135,8.867939422936242e-08,NW,0,0.023159467178377982,0.026469463755441597,-0.0033099965770636147,0.21956858431909496,7.909168798987234e-07,NW,0,0.02387233769934655,0.0268470695963724,-0.0029747318970258507,0.19271172364256695,2.380692023572617e-05,NW,0,0.01721583661732069,0.020840325175105055,-0.003624488557784366,0.18961415007519472,3.180072954824236e-05,NW,0,0.014107443621654598,0.01573119693086217,-0.001623753309207573,0.22922044398554467,2.4833806537559917e-07,NW,0,0.014820314142623161,0.016108802771792972,-0.0012884886291698108,0.21255415142196585,2.2606552305133594e-06,NW,0,0.008163813060597302,0.010102058350525628,-0.001938245289928326,0.17300397297479295,0.00019749813554640686,NW,0,0.0007128705209685662,0.0003776058409307996,0.00033526468003776665,0.11360014365558574,0.037043461233572696,SE,0,-0.005943630561057294,-0.005629138580336543,-0.00031449198072075035,0.15253305200781128,0.0016151900459492224,NW,0,-0.00665650108202586,-0.006006744421267343,-0.0006497566607585169,0.09256806805683374,0.13899651993520853,NW,0,0,0
NGC1324,SW,NE,SW,0.017726283738664406,0.004661928717348066,0.01306435502131634,0.6876005753264693,1.1991278944477341e-60,SW,1,0.03260132382733338,0.008792149432399803,0.023809174394933574,0.6954899531479187,3.804581384680091e-62,SW,1,0.04108378986375744,0.011999138142622368,0.029084651721135075,0.7140456558579342,5.858399622440756e-66,SW,1,0.03833840756145971,0.0065906760180136905,0.03174773154344602,0.759388217199983,7.734399398454412e-76,SW,1,0.014875040088668964,0.004130220715051737,0.010744819373617227,0.6614972728955726,1.154484725472123e-55,SW,1,0.02335750612509304,0.007337209425274305,0.016020296699818734,0.6648438501303029,2.563457239554676e-56,SW,1,0.020612123822795297,0.0019287473006656247,0.01868337652212967,0.7972401418379117,6.447560257961456e-85,SW,1,0.008482466036424075,0.0032069887102225665,0.005275477326201508,0.6159838225032398,9.797607490751562e-48,SW,1,0.005737083734126332,-0.002201473414386113,0.007938557148512444,0.653437006023839,3.2418551757469116e-54,SW,1,-0.0027453823022977426,-0.00540846212460868,0.0026630798223109377,0.20404152603921905,2.5197370384221702e-05,SW,1,10,1
NGC1337,NE,NE,SW,0.05775748630849429,0.06672371952615157,-0.008966233217657278,0.1310406001317857,1.2998779259839662e-08,NE,1,0.08158038874474953,0.09506709467594968,-0.013486705931200146,0.10895804822004831,4.33561472584959e-06,NE,1,0.09008913957199048,0.10812535703460857,-0.01803621746261809,0.11903965397806951,3.485689475371931e-07,NE,1,0.06898159548519103,0.09117710875014332,-0.022195513264952282,0.1455910926385862,1.5413288536768542e-10,NE,1,0.02382290243625525,0.02834337514979811,-0.004520472713542858,0.1032169226350381,1.6455762041558362e-05,NE,1,0.03233165326349619,0.041401637508457,-0.009069984244960805,0.11878284082653286,3.7072459465273266e-07,NE,1,0.01122410917669675,0.024453389223991723,-0.013229280047294973,0.12906043556862148,2.2671025642914636e-08,NE,1,0.008508750827240945,0.013058262358658888,-0.0045495115314179435,0.12670856775981212,4.437902062033796e-08,NE,1,-0.012598793259558495,-0.0038899859258063837,-0.008708807333752112,0.1853751668440705,8.226718308169143e-17,NE,1,-0.021107544086799438,-0.01694824828446527,-0.004159295802334168,0.13222667139743524,9.268583655677686e-09,NE,1,10,1
NGC1353,SW,NE,SW,0.002396616280133366,-0.002466954341669373,0.004863570621802739,0.35694980694980694,4.298193345028215e-32,SW,1,0.0066589508428649665,-0.0033124259498080668,0.009971376792673034,0.5380952380952381,1.440480346948195e-74,SW,1,0.012222751280142592,-0.0014983380509270424,0.013721089331069634,0.6171492921492922,8.553526520236966e-100,SW,1,0.011040873565208588,-0.0038270032147664267,0.014867876779975014,0.5762065637065638,4.7971363340157444e-86,SW,1,0.004262334562731602,-0.0008454716081386947,0.0051078061708702965,0.6433075933075934,2.097491256790481e-109,SW,1,0.009826135000009227,0.0009686162907423302,0.008857518709266897,0.6004182754182754,2.9915367347102835e-94,SW,1,0.008644257285075221,-0.0013600488730970543,0.010004306158172275,0.6114864864864865,6.29539919700185e-98,SW,1,0.0055638004372776245,0.001814087898881025,0.0037497125383965995,0.47746138996139,5.067355286030575e-58,SW,1,0.004381922722343622,-0.0005145772649583596,0.004896499987301982,0.4937419562419562,3.55146344053067e-62,SW,1,-0.0011818777149340026,-0.002328665163839385,0.0011467874489053823,0.12493564993564994,0.0002908320828979796,SW,1,10,1
NGC1385,W,W,E,-0.013265272588688934,-0.005329676471898585,-0.00793559611679035,0.3021520222820006,3.9872981358366673e-29,W,1,-0.017973741400401057,-0.0027191285201882387,-0.015254612880212818,0.29990636481221383,1.089501129627338e-28,W,1,-0.017342114662756196,-0.00011833531661881652,-0.01722377934613738,0.2868291792637735,2.9942551388247925e-26,W,1,-0.026590485824848593,-0.005390655799406138,-0.021199830025442457,0.269272581553868,3.674314576728622e-23,W,1,-0.0047084688117121284,0.002610547951710346,-0.007319016763422474,0.3738384872362543,1.0058663701699597e-44,W,1,-0.004076842074067264,0.005211341155279767,-0.009288183229347031,0.309575388228946,1.4516422269477524e-30,W,1,-0.013325213236159662,-6.097932750755242e-05,-0.013264233908652109,0.26693566945191677,9.240743131485801e-23,W,1,0.0006316267376448642,0.002600793203569422,-0.0019691664659245577,0.16970981026971696,2.054273827539275e-09,W,1,-0.008616744424447532,-0.002671527279217897,-0.005945217145229635,0.20572364923306433,1.2048048484170156e-13,W,1,-0.009248371162092395,-0.00527232048278732,-0.003976050679305075,0.2270137516763079,1.542600843505967e-16,W,1,10,1
NGC1415,SW,NE,SW,0.08105386753874831,0.0041327910943412295,0.07692107644440709,0.8504273504273504,2.3303241694279665e-10,SW,1,0.13929419816568941,0.015597062099732002,0.12369713606595742,0.886039886039886,4.145583521332821e-11,SW,1,0.14361617244178565,-0.011542078195137816,0.15515825063692346,0.8504273504273504,2.3303241694279665e-10,SW,1,0.17333017737345963,-0.007219184624168591,0.18054936199762822,0.8490028490028491,4.1670736609071777e-10,SW,1,0.058240330626941124,0.011464271005390771,0.046776059621550355,0.8148148148148148,8.860491380854038e-10,SW,1,0.06256230490303734,-0.01567486928947905,0.07823717419251638,0.8133903133903134,1.7944163819257074e-09,SW,1,0.0922763098347113,-0.01135197571850982,0.10362828555322112,0.8518518518518519,9.609133059582583e-11,SW,1,0.004321974276096207,-0.02713914029486981,0.031461114570966016,0.8076923076923077,5.8957869201189294e-09,SW,1,0.03403597920777017,-0.022816246723900587,0.05685222593167076,0.8518518518518519,9.609133059582583e-11,SW,1,0.029714004931673955,0.004322893570969227,0.025391111360704727,0.5170940170940171,0.0005854514666045975,SW,1,10,1
NGC150,NE,NE,SW,0.004021745925838434,0.007416868812561593,-0.003395122886723159,0.2896384279664679,5.804315953597521e-23,NE,1,-0.00014049791616829773,0.0034240439625617507,-0.0035645418787300484,0.1704773787918071,2.986181807089075e-08,NE,1,0.00014854268363367776,0.005184514240097853,-0.005035971556464175,0.23761180969665543,1.1883096249003245e-15,NE,1,0.0003094513839508768,0.006911353566718865,-0.006601902182767988,0.32293287097052975,1.3617164888138207e-28,NE,1,-0.00416224384200673,-0.003992824849999843,-0.0001694189920068874,0.05567528735632184,0.2826983226961092,NE,1,-0.0038732032422047562,-0.002232354572463739,-0.0016408486697410173,0.10977335580330136,0.0011106200893465348,NE,1,-0.003712294541887557,-0.0005055152458427273,-0.00320677929604483,0.24915467548180797,3.5055286886210787e-17,NE,1,0.00028904059980197513,0.0017604702775361031,-0.001471429677734128,0.4198130023334198,1.8046581975001965e-48,NE,1,0.0004499493001191744,0.0034873096041571155,-0.003037360304037941,0.40661189611960935,2.1187865544079912e-45,NE,1,0.00016090870031719933,0.0017268393266210121,-0.0015659306263038127,0.3360205470572984,6.9451861280381885e-31,NE,1,10,1
NGC1964,NW,NW,SE,-0.0002476937801498569,-0.00118149338133943,0.0009337996011895731,0.2655512022327179,1.9422167447328174e-17,SE,-1,-0.01031487316388159,-0.009645244530184064,-0.0006696286336975252,0.15297606268784886,4.693953883805624e-06,NW,1,-0.006594913472699366,-0.0023226838179387947,-0.004272229654760571,0.2742459209961357,1.4759068821378312e-18,NW,1,-0.005689792230377484,-0.0011502998584236946,-0.00453949237195379,0.32944665092314296,1.0202910576588846e-26,NW,1,-0.010067179383731731,-0.008463751148844635,-0.0016034282348870964,0.14175880206097038,2.917020913508144e-05,NW,1,-0.0063472196925495085,-0.0011411904365993648,-0.005206029255950144,0.254776728209532,4.2893116491213247e-16,NW,1,-0.005442098450227629,3.1193522915735456e-05,-0.005473291973143364,0.3223754830399313,1.267991334927411e-25,NW,1,0.0037199596911822222,0.00732256071224527,-0.003602601021063048,0.17893945899527694,4.024487917700212e-08,NW,1,0.004625080933504102,0.008494944671760369,-0.0038698637382562663,0.20864641477028767,6.786813753865964e-11,NW,1,0.0009051212423218793,0.0011723839595151001,-0.0002672627171932208,0.34464899098325463,2.3746711835680557e-29,NW,1,8,1
