name,paper_label,ebm_label,ebm_pval,score
IC 2101,NE,SW,3.765E-03,-1
IC1683,W,W,5.056E-05,1
IC1755,SW,E,8.462E-02,-1
IC5376,W,W,7.580E-13,1
MCG-02-02-030,SW,W,2.303E-18,1
MCG-02-51-004,NE,NE,8.437E-15,1
NGC1035,NE,NE,1.169E-40,1
NGC1056,SW,SW,1.824E-31,1
NGC1084,SE,SE,1.539E-05,1
NGC1093,N,NE,8.446E-03,1
NGC1097,SW,SW,1.267E-22,1
NGC1421,NW,NW,1.053E-07,1
NGC157,SE,NE,2.706E-09,0
NGC1637,E,SE,3.140E-13,1
NGC1667,E,E,5.233E-04,1
NGC169,N,N,7.534E-12,1
NGC1961,S,S,1.220E-35,1
NGC2280,NE,NE,1.827E-33,1
NGC2347,E,E,7.744E-06,1
NGC24,NW,NW,1.700E-41,1
NGC2403,SW,NE,1.611E-19,-1
NGC2410,NW,NW,2.510E-24,1
NGC2613,SW,S,4.269E-23,1
NGC2639,NE,NE,2.563E-13,1
NGC2683,NW,NW,4.000E-156,1
NGC2715,NW,N,1.595E-09,1
NGC2742,SE,S,3.432E-22,1
NGC2775,SW,W,6.472E-06,1
NGC2782,N,NW,4.704E-29,1
NGC2841,NE,NE,3.704E-15,1
NGC2903,E,E,6.874E-16,1
NGC3160,SW,SW,1.269E-15,1
NGC3175,SE,SE,5.181E-40,1
NGC3198,SE,SE,8.331E-41,1
NGC3227,SW,W,6.888E-30,1
NGC3310,E,E,2.373E-10,1
NGC3312,E,E,8.515E-17,1
NGC3368,W,SW,1.367E-66,1
NGC3521,W,W,2.197E-57,1
NGC3623,NE,E,9.607E-48,1
NGC3627,E,NE,3.778E-26,1
NGC3646,NW,NW,2.124E-30,1
NGC3672,SE,E,4.264E-30,1
NGC3675,E,E,4.362E-26,1
NGC3718,SW,W,1.517E-16,1
NGC3815,NW,N,9.278E-27,1
NGC3900,E,E,2.008E-33,1
NGC3949,NE,NE,8.069E-19,1
NGC4062,SW,S,6.791E-97,1
NGC4088,SE,SE,2.589E-05,1
NGC4258,W,SW,3.038E-48,1
NGC4293,SE,SE,2.469E-15,1
NGC4310,SW,SW,3.948E-23,1
NGC4321,NE,S,1.191E-10,-1
NGC4414,NE,NE,2.229E-65,1
NGC4424,N,N,1.586E-10,1
NGC4450,E,E,2.263E-22,1
NGC4451,SW,SW,1.857E-06,1
NGC4501,NE,NE,2.972E-60,1
NGC4527,NW,NW,1.924E-123,1
NGC4569,W,NW,1.498E-15,1
NGC4580,SW,SW,1.277E-32,1
NGC4625,SW,SW,2.645E-05,1
NGC4632,NW,NW,2.640E-22,1
NGC4651,SE,S,1.194E-31,1
NGC4666,SE,SE,3.502E-75,1
NGC4698,SW,SW,7.671E-07,1
NGC4826,NE,N,3.886E-67,1
NGC5005,NW,N,2.524E-85,1
NGC5033,W,W,7.083E-44,1
NGC5055,S,S,4.460E-89,1
NGC5236,NW,NW,1.799E-21,1
NGC5248,SW,S,2.171E-10,1
NGC5303,S,S,4.894E-14,1
NGC5395,W,W,1.617E-18,1
NGC5426,W,W,8.410E-31,1
NGC5448,S,S,3.196E-30,1
NGC5635,SE,S,3.941E-34,1
NGC5678,W,W,1.004E-33,1
NGC5692,NW,NW,1.437E-28,1
NGC5949,SW,SW,9.185E-07,1
NGC5980,NW,W,5.567E-24,1
NGC6015,NW,NW,3.805E-30,1
NGC6106,SW,NE,2.071E-02,-1
NGC613,SW,SW,1.068E-04,1
NGC6132,NE,NE,6.659E-22,1
NGC615,NE,E,1.002E-38,1
NGC6181,W,W,1.102E-15,1
NGC6186,NW,NW,1.698E-06,1
NGC6207,NW,W,4.637E-05,1
NGC6394,NW,NW,6.734E-09,1
NGC6503,SW,SW,6.656E-74,1
NGC6907,SE,S,3.965E-04,1
NGC6946,NW,N,9.191E-16,1
NGC6951,SW,SW,4.370E-07,1
NGC6978,SW,SW,3.286E-18,1
NGC7311,SE,SE,1.470E-08,1
NGC7331,W,W,6.308E-40,1
NGC7364,SE,SE,1.292E-24,1
NGC7466,SE,SE,5.219E-12,1
NGC7479,NW,W,1.490E-173,1
NGC7536,NW,NW,3.465E-11,1
NGC7541,SW,S,9.662E-41,1
NGC7591,NE,E,5.693E-04,1
NGC7608,SE,E,1.015E-22,1
NGC7625,SE,SE,1.135E-28,1
NGC7631,NW,N,4.868E-34,1
NGC772,SW,SW,2.880E-16,1
NGC7738,NW,NW,1.196E-01,1
NGC7782,W,W,5.887E-26,1
NGC7787,S,S,1.050E-14,1
NGC801,SW,SW,1.976E-29,1
NGC871,W,E,5.062E-07,-1
NGC877,SW,SW,1.351E-11,1
NGC949,SW,SW,1.085E-28,1
NGC972,SW,SW,2.338E-25,1
UGC10331,NE,NE,1.595E-18,1
UGC10384,S,N,8.308E-03,-1
UGC1057,SW,SW,5.507E-19,1
UGC12519,NE,E,5.769E-17,1
UGC148,SW,N,8.950E-31,-1
UGC1938,SW,SW,3.010E-14,1
UGC2405,NE,E,3.695E-04,1
UGC36,NW,W,1.350E-09,1
UGC3944,SW,S,2.110E-08,1
UGC3969,NE,NE,1.982E-06,1
UGC4132,SE,SE,4.526E-29,1
UGC5359,SW,S,7.490E-09,1
UGC5396,NE,NE,1.385E-17,1
UGC5598,SE,SE,2.076E-15,1
UGC7145,NE,NE,3.450E-10,1
UGC7901,SE,S,7.090E-35,1
UGC9873,NE,NE,1.825E-08,1
UGC9892,SW,S,1.856E-28,1
