name,paper_label,ebm_label,ebm_pval_winning,ebm_pval_losing,score
IC 4566,sw,SW,1.22E-15,6.71E-01,1
IC1151,nw,SE,6.08E-05,4.76E-04,-1
IC1199,ne,E,3.49E-16,1.00E+00,1
IC1256,n,S,4.56E-03,6.72E-03,-1
IC1528,se,S,4.08E-24,2.59E-16,1
IC2095,se,SE,3.74E-02,3.64E-01,1
IC2163,s,SW,1.57E-06,1.00E+00,1
IC2487,ne,E,1.18E-18,1.00E+00,1
IC467,se,S,5.99E-08,5.55E-05,1
IC5309,se,E,1.27E-08,1.00E+00,1
IC674,sw,SW,2.35E-14,1.00E+00,1
IC776,sw,S,6.42E-04,1.00E+00,1
IRAS03056+2034,ne,SW,1.62E-03,2.41E-01,-1
NGC1,sw,SW,1.85E-25,1.00E+00,1
NGC1012,se,W,1.28E-17,1.07E-14,-1
NGC1042,s,S,4.33E-08,9.48E-04,1
NGC1058,nw,N,2.71E-08,1.42E-03,1
NGC1068,w,SE,6.30E-44,1.42E-03,-1
NGC1073,sw,NW,5.05E-19,5.38E-15,0
NGC1087,nw,E,2.36E-13,1.31E-04,-1
NGC1169,nw,NW,1.49E-06,1.00E+00,1
NGC1232,n,NW,1.27E-31,8.91E-30,1
NGC1300,n,N,1.77E-15,2.31E-09,1
NGC1358,ne,E,1.79E-02,2.09E-01,1
NGC160,se,SE,1.04E-04,2.52E-01,1
NGC1614,w,E,1.06E-27,1.00E+00,-1
NGC1645,s,S,1.16E-15,5.27E-01,1
NGC1677,sw,SW,3.58E-08,1.00E+00,1
NGC171,n,NE,8.54E-07,2.35E-01,1
NGC1744,e,E,1.67E-36,1.00E+00,1
NGC177,nw,W,2.40E-14,1.00E+00,1
NGC1784,n,N,1.03E-47,1.00E+00,1
NGC180,nw,NE,1.34E-10,2.50E-08,0
NGC1832,se,E,4.17E-22,5.75E-02,1
NGC192,nw,W,4.74E-38,1.00E+00,1
NGC2139,ne,N,2.58E-05,1.07E-03,1
NGC214,nw,SE,5.66E-12,9.17E-05,-1
NGC217,ne,N,1.41E-14,1.00E+00,1
NGC2207,n,E,2.60E-09,1.00E+00,0
NGC2276,s,NW,9.02E-31,4.96E-06,-1
NGC23,se,E,2.79E-13,1.00E+00,1
NGC2336,w,W,7.18E-20,2.29E-06,1
NGC234,nw,NW,1.25E-10,8.31E-09,1
NGC237,e,E,2.72E-11,1.00E+00,1
NGC2449,sw,SW,4.43E-22,1.00E+00,1
NGC2486,n,N,2.08E-02,1.00E+00,1
NGC2487,sw,N,8.96E-32,5.44E-28,-1
NGC2500,nw,W,1.16E-43,7.50E-10,1
NGC2525,s,N,3.55E-10,1.00E+00,-1
NGC2540,ne,NE,9.72E-03,1.71E-02,1
NGC2552,nw,SE,4.25E-10,5.49E-08,-1
NGC2553,se,SE,3.26E-02,9.45E-01,1
NGC257,n,N,7.83E-06,9.24E-03,1
NGC2604,sw,SE,8.19E-13,1.45E-10,0
NGC2608,se,S,1.69E-05,1.00E+00,1
NGC2730,se,SE,6.36E-15,3.39E-04,1
NGC2776,sw,SW,5.44E-16,1.81E-07,1
NGC278,se,W,1.21E-11,3.43E-09,-1
NGC2805,sw,SE,1.70E-02,2.71E-02,0
NGC2906,nw,N,5.49E-62,1.00E+00,1
NGC2916,nw,W,5.98E-67,1.58E-02,1
NGC2964,n,N,4.03E-11,1.00E+00,1
NGC2998,nw,NW,3.19E-03,5.89E-01,1
NGC3057,se,W,1.51E-01,2.40E-01,-1
NGC3106,ne,NE,1.89E-02,1.00E+00,1
NGC3145,nw,NW,7.71E-41,1.00E+00,1
NGC3166,nw,N,1.60E-21,1.00E+00,1
NGC3206,w,NW,4.78E-08,4.02E-01,1
NGC3319,se,NW,8.46E-03,1.00E+00,-1
NGC3344,sw,W,1.57E-16,1.04E-11,1
NGC3346,ne,SW,3.98E-05,3.72E-01,-1
NGC3351,se,SW,2.40E-13,4.45E-02,0
NGC3359,w,W,2.35E-59,5.78E-03,1
NGC3367,nw,SE,1.29E-15,5.61E-08,-1
NGC3381,e,S,2.70E-05,1.00E+00,0
NGC3395,se,E,2.94E-05,4.01E-04,1
NGC3423,nw,NW,1.55E-37,1.20E-19,1
NGC3433,nw,W,1.18E-07,5.67E-07,1
NGC3445,sw,NE,8.97E-20,6.93E-07,-1
NGC3504,e,NE,6.34E-05,1.00E+00,1
NGC36,ne,SE,2.78E-21,1.00E+00,0
NGC3614,ne,S,5.17E-18,1.98E-13,-1
NGC3631,ne,E,4.27E-16,3.81E-13,1
NGC3642,ne,SW,1.56E-14,1.00E+00,-1
NGC3687,sw,NE,1.45E-12,1.10E-04,-1
NGC3811,w,W,1.30E-12,1.00E+00,1
NGC3893,sw,W,8.30E-50,9.26E-15,1
NGC3898,ne,N,3.07E-29,4.79E-01,1
NGC3938,nw,W,1.04E-107,1.46E-29,1
NGC3955,w,E,6.07E-34,1.00E+00,-1
NGC3992,nw,NW,4.02E-46,3.29E-28,1
NGC3994,w,W,2.87E-08,1.00E+00,1
NGC4027,e,SW,1.28E-15,1.29E-11,-1
NGC4030,nw,NW,7.40E-57,1.20E-26,1
NGC4047,ne,N,2.74E-14,1.00E+00,1
