name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_pos_std,g-r_neg_mean,g-r_neg_std,g-r_ks_stat,g-r_ks_pval,g-r_label,g-r_score,g-i_pos_mean,g-i_pos_std,g-i_neg_mean,g-i_neg_std,g-i_ks_stat,g-i_ks_pval,g-i_label,g-i_score,g-z_pos_mean,g-z_pos_std,g-z_neg_mean,g-z_neg_std,g-z_ks_stat,g-z_ks_pval,g-z_label,g-z_score,r-i_pos_mean,r-i_pos_std,r-i_neg_mean,r-i_neg_std,r-i_ks_stat,r-i_ks_pval,r-i_label,r-i_score,r-z_pos_mean,r-z_pos_std,r-z_neg_mean,r-z_neg_std,r-z_ks_stat,r-z_ks_pval,r-z_label,r-z_score,i-z_pos_mean,i-z_pos_std,i-z_neg_mean,i-z_neg_std,i-z_ks_stat,i-z_ks_pval,i-z_label,i-z_score,total,score
IC750,SE,NW,SE,0.029135450528280704,0.028067475441364658,0.0335049860080794,0.03655314539433647,0.11179126100074717,2.36966190748082e-08,NW,-1,0.048095023752281085,0.04334841663945669,0.0491931540733697,0.05000124426912085,0.07315675102236367,0.0007889184161823891,NW,-1,0.0522031650832203,0.048636631551227764,0.04501696801055323,0.06145424546704737,0.0896229374490244,1.5767653200407507e-05,SE,1,0.01895957322400038,0.016230847138377642,0.0156881680652903,0.014815706711112457,0.07964740573436226,0.0001853200518980081,SE,1,0.023067714554939597,0.02153478946129764,0.011511982002473834,0.028650206832003696,0.21164353871863753,6.090005550498418e-29,SE,1,0.004108141330939215,0.00740377859278928,-0.0041761860628164674,0.01708589241470876,0.2828354122820526,1.4766793058470628e-51,SE,1,2,1
NGC1309,SW,E,W,0.015478804791098517,0.01067288951206368,0.01994155693763891,0.012661439627470343,0.16787003610108303,7.414899344351122e-21,E,-1,0.023024043264527463,0.01333311159449816,0.03043169430313883,0.015096838045706808,0.22081829121540314,6.679869674125723e-36,E,-1,0.02732734492538267,0.014898717912826634,0.03169159924128359,0.016821988159446542,0.12454873646209386,1.1981005472843207e-11,E,-1,0.007545238473428948,0.005526728089173879,0.010490137365499922,0.006531278676804303,0.17148014440433212,9.494564561014274e-22,E,-1,0.011848540134284156,0.007755014078855786,0.011750042303644686,0.008189071230632165,0.043922984356197355,0.08099541675262929,W,1,0.004303301660855206,0.00587486159998907,0.0012599049381447646,0.005785712478214065,0.2111913357400722,7.478194173836577e-33,W,1,-2,-1
NGC1324,SW,NE,SW,0.012873302981569934,0.007626554315394297,0.0003944820222510317,0.00811376951456577,0.6733766233766234,0.0,SW,1,0.020040302033471805,0.012830413992891337,-0.0011507322518073376,0.012228339943682148,0.7487012987012988,0.0,SW,1,0.025023101408736256,0.017991315896499705,-0.00319019961109388,0.01568786092731278,0.7415584415584415,0.0,SW,1,0.007166999051901873,0.006419788794003612,-0.0015452142740583694,0.005600189433042173,0.6649350649350649,6e-323,SW,1,0.012149798427166316,0.012188171682621951,-0.003584681633344912,0.010737248853084577,0.6701298701298701,0.0,SW,1,0.004982799375264444,0.007346889867277477,-0.002039467359286542,0.007226215607624209,0.4701298701298701,3.464847673887006e-154,SW,1,6,1
NGC2268,S,NW,SE,0.01361289580796956,0.010073288637438565,0.004106941969714782,0.011596384912441696,0.440049535280095,6.851198678106446e-126,SE,1,0.020761713732455535,0.018069782525555973,0.005639415883327465,0.018557757291180404,0.4873485655771421,1.3798879709173283e-155,SE,1,0.023684550477662537,0.022894728783807085,0.006208282611099807,0.023268920853900074,0.5075546625396945,2.3577346298118926e-169,SE,1,0.007148817924485977,0.010441180646081863,0.0015324739136126822,0.00966712558328217,0.4247161496821051,5.432018633227184e-117,SE,1,0.010071654669692981,0.01562579637254919,0.002101340641385025,0.015760118364883356,0.4212962021984063,4.516967775717878e-115,SE,1,0.0029228367452070023,0.00674881927760565,0.0005688667277723432,0.0074187245864308525,0.22648888940508302,6.755716415852044e-33,SE,1,6,1
NGC2713,N,NE,SW,0.009593525073440365,0.009584199546621536,0.022178907299301824,0.021876885472031208,0.3759544213876208,2.440003117348217e-100,NE,1,0.011618651961288574,0.013703580868703574,0.029611482103708696,0.03258272618221896,0.3508166565354375,3.3740459170996832e-87,NE,1,0.016232277980955136,0.019261932294685695,0.036570698164695936,0.04115481183049216,0.31234619403489117,6.710666456176116e-69,NE,1,0.002025126887848207,0.004971141819301901,0.007432574804406869,0.011132536033115615,0.28548572291286745,1.7215112615251396e-57,NE,1,0.006638752907514767,0.010734496966939719,0.01439179086539411,0.019835268152443096,0.23553598175584134,4.0936135373464745e-39,NE,1,0.004613626019666559,0.006619564452211552,0.00695921606098724,0.009137635444496398,0.14888258501293222,8.220159279144417e-16,NE,1,6,1
NGC3003,N,N,S,-0.013319318814432976,0.015955222821086617,-0.014536331723475621,0.01508228884821588,0.043691282737943635,0.021974524305566668,S,-1,-0.03939661371277784,0.03558266826757675,-0.03601153138793024,0.03146085585026053,0.07855505505141286,9.779006237196534e-07,N,1,-0.06276034272633924,0.0435002938840888,-0.051060227708030696,0.033807582759304844,0.16610099187145697,1.1723144837776348e-28,N,1,-0.02607729489834486,0.023530923483379252,-0.021475199664454624,0.01971433741896402,0.08667286434720595,4.186618090542651e-08,N,1,-0.04944102391190627,0.031964692596210036,-0.03652389598455507,0.02390075398226866,0.18702889744354775,2.649412683730425e-36,N,1,-0.02336372901356141,0.019859244353030454,-0.015048696320100448,0.017601008561064436,0.20925758821688728,1.6927222702491963e-45,N,1,4,1
NGC3185,SW,NE,SW,0.003937692064267258,0.012927757305247634,0.0018770225764588664,0.011361530735869822,0.18911550204409083,8.740883123686208e-35,SW,1,0.004308470392811908,0.01630362868191063,-0.00017719823943831409,0.020566091567136447,0.3055596776841812,7.215710324237191e-91,SW,1,0.00454139572771945,0.018809075585441835,-0.0011518749931599807,0.024849515730467037,0.2776461467796476,6.188761369328012e-75,SW,1,0.000370778328544649,0.0038311346078741346,-0.0020542208158971804,0.011515315717900924,0.2502127226209256,8.005036711445593e-61,SW,1,0.000603703663452191,0.006250833159825089,-0.0030288975696188465,0.016452944067878384,0.2233664419933367,1.8953260991248174e-48,SW,1,0.0002329253349075421,0.0029603784717280885,-0.0009746767537216666,0.006293889017970393,0.09094219390077378,2.370433430232436e-08,SW,1,6,1
NGC3370,NE,NE,SW,0.012119220051043081,0.017457188349143407,0.013895099176832392,0.012554071974910663,0.11441307578008915,6.317788927294462e-12,NE,1,0.020106375579903014,0.02430545457157401,0.023297539256948472,0.0176383292254506,0.13868251609707777,2.4357582296506828e-17,NE,1,0.016314351509938114,0.029148203351341127,0.024017119239741442,0.021615374869194036,0.17731550272412086,3.918295347664982e-28,NE,1,0.007987155528859933,0.008414704934666574,0.00940244008011608,0.0064575461970397445,0.1267954432887568,1.4773756050078868e-14,NE,1,0.004195131458895033,0.013343658579450654,0.01012202006290905,0.011324295616089696,0.20851906884596336,8.021851118137136e-39,NE,1,-0.0037920240699649004,0.0069655648515467745,0.0007195799827929694,0.0065796868983452,0.24170381376919267,3.7811423702987034e-52,NE,1,6,1
NGC3430,NW,NW,SE,0.006998897403704295,0.011715287438891017,0.01602420302893071,0.015951729325996283,0.22173435381354473,5.335348313968017e-64,NW,1,0.012282115151613123,0.015971398238288675,0.025819302286827318,0.022467533573355358,0.22673984233314234,5.736964534214212e-67,NW,1,0.009071321665418587,0.018586430968096524,0.022660161254106012,0.02544598686369361,0.22560181881590416,2.486322538138608e-66,NW,1,0.005283217747908828,0.006595436508161022,0.009795099257896608,0.008253119199831018,0.1908133577104166,1.9187540866351323e-47,NW,1,0.0020724242617142907,0.010667301020536361,0.006635958225175302,0.012000300478738795,0.16744786365864855,1.3910973628035003e-36,NW,1,-0.0032107934861945377,0.009858689911625305,-0.0031591410327213073,0.007911156659988344,0.041235576266988795,0.01271434526737088,NW,1,6,1
NGC3726,W,W,E,-0.006570220310417528,0.008245817345441586,-0.001730952373197978,0.002046099253861152,0.39349823016924657,1.423605817082698e-292,W,1,-0.01219370171534277,0.01522209515074007,-0.002874584877947665,0.003915348430399038,0.40810410624246707,1.9149133e-315,W,1,-0.02086070267535703,0.015861990512767855,-0.01112157621168174,0.0058495423380810225,0.3776370422245846,6.586566322010523e-269,W,1,-0.005623481404925242,0.007374354255075325,-0.0011436325047496875,0.002331528752378175,0.3925631840495228,3.950882883876454e-291,W,1,-0.014290482364939499,0.009015921222530303,-0.009390623838483762,0.0046769643948181595,0.3068381020517497,3.237551788876966e-176,W,1,-0.008667000960014257,0.005348174125920072,-0.008246991333734075,0.003920726958934786,0.07438271449436246,1.2748543119439576e-10,W,1,6,1
