name,paper_label,ebm_label,ebm_pval,score
IC1683,W,W,8.804E-24,1
IC1755,SW,NE,2.391E-03,-1
IC2101,NE,SW,7.152E-19,-1
IC5376,W,W,7.751E-184,1
MCG-02-02-030,SW,W,7.282E-222,1
MCG-02-51-004,NE,NE,2.425E-104,1
NGC1035,NE,NE,2.261E-145,1
NGC1056,SW,W,3.139E-215,1
NGC1084,SE,SE,8.864E-124,1
NGC1093,N,N,2.698E-16,1
NGC157,SE,E,1.937E-184,1
NGC1667,E,E,3.901E-50,1
NGC169,N,N,1.357E-69,1
NGC2347,E,W,6.702E-25,-1
NGC2403,SW,SW,3.957E-160,1
NGC2410,NW,NW,2.429E-74,1
NGC2639,NE,NE,2.791E-83,1
NGC2683,NW,SE,7.134E-29,-1
NGC2742,SE,S,3.811E-31,1
NGC2775,SW,SW,4.973E-05,1
NGC2782,N,NW,0.000E+00,1
NGC2841,NE,E,6.284E-65,1
NGC2903,E,E,1.538E-40,1
NGC3160,SW,SW,6.710E-110,1
NGC3198,SE,E,1.181E-184,1
NGC3227,SW,W,9.757E-100,1
NGC3310,E,E,3.808E-46,1
NGC3368,W,SW,0.000E+00,1
NGC3521,W,SW,0.000E+00,1
NGC3623,NE,E,0.000E+00,1
NGC3627,E,NE,2.882E-154,1
NGC3646,NW,NW,3.053E-193,1
NGC3672,SE,E,8.730E-150,1
NGC3675,E,E,0.000E+00,1
NGC3718,SW,W,2.211E-15,1
NGC3815,NW,N,1.001E-114,1
NGC3900,E,E,6.640E-122,1
NGC3949,NE,NE,5.200E-81,1
NGC4062,SW,S,0.000E+00,1
NGC4088,SE,SE,1.473E-51,1
NGC4258,W,SW,0.000E+00,1
NGC4293,SE,S,5.473E-178,1
NGC4310,SW,SW,1.131E-127,1
NGC4321,NE,N,2.958E-04,1
NGC4414,NE,E,0.000E+00,1
NGC4424,N,N,1.053E-45,1
NGC4450,E,E,5.344E-243,1
NGC4451,SW,W,1.098E-21,1
NGC4501,NE,NE,8.421E-310,1
NGC4527,NW,N,0.000E+00,1
NGC4569,W,W,1.313E-224,1
NGC4580,SW,SW,8.667E-109,1
NGC4625,SW,SW,2.406E-16,1
NGC4632,NW,N,3.722E-23,1
NGC4651,SE,S,1.025E-161,1
NGC4666,SE,SE,0.000E+00,1
NGC4698,SW,W,6.060E-33,1
NGC4826,NE,NE,0.000E+00,1
NGC5005,NW,NW,0.000E+00,1
NGC5033,W,W,0.000E+00,1
NGC5055,S,S,0.000E+00,1
NGC5248,SW,SW,6.454E-14,1
NGC5303,S,S,1.871E-88,1
NGC5395,W,W,5.498E-35,1
NGC5448,S,S,3.451E-266,1
NGC5635,SE,SE,2.747E-280,1
NGC5678,W,W,6.871E-256,1
NGC5692,NW,NW,3.196E-126,1
NGC5949,SW,SW,6.595E-08,1
NGC5980,NW,W,9.133E-87,1
NGC6015,NW,NW,1.423E-143,1
NGC6106,SW,NE,1.315E-28,-1
NGC6132,NE,NE,5.209E-54,1
NGC615,NE,NE,2.022E-168,1
NGC6181,W,W,8.419E-64,1
NGC6186,NW,NW,4.742E-17,1
NGC6207,NW,E,1.414E-65,-1
NGC6394,NW,NW,8.602E-32,1
NGC6978,SW,SW,2.899E-70,1
NGC7311,SE,NW,4.023E-31,-1
NGC7331,W,W,0.000E+00,1
NGC7364,SE,S,3.111E-144,1
NGC7466,SE,E,9.156E-90,1
NGC7479,NW,W,5.233E-224,1
NGC7536,NW,NW,2.871E-22,1
NGC7541,SW,N,1.171E-25,-1
NGC7591,NE,NE,4.495E-31,1
NGC7608,SE,E,8.702E-117,1
NGC7625,SE,SE,3.084E-230,1
NGC7631,NW,N,4.902E-168,1
NGC772,SW,SW,1.541E-79,1
NGC7738,NW,NW,2.801E-03,1
NGC7782,W,W,1.137E-92,1
NGC7787,S,S,3.458E-55,1
UGC10331,NE,NE,5.507E-25,1
UGC10384,S,N,2.927E-13,-1
UGC1057,SW,SW,1.033E-21,1
UGC10972,NW,NW,2.650E-155,1
UGC11792,SW,NE,1.912E-19,-1
UGC12519,NE,E,4.335E-61,1
UGC148,SW,N,9.401E-162,-1
UGC1938,SW,SW,3.725E-53,1
UGC2405,NE,NE,3.608E-22,1
UGC36,NW,W,1.499E-40,1
UGC3944,SW,SW,2.362E-08,1
UGC3969,NE,NE,2.633E-34,1
UGC4132,SE,SE,1.988E-249,1
UGC5359,SW,S,6.387E-22,1
UGC5396,NE,NE,9.406E-117,1
UGC5598,SE,SE,9.752E-94,1
UGC7145,NE,NE,8.092E-36,1
UGC7901,SE,S,2.736E-160,1
UGC9873,NE,NE,1.109E-20,1
UGC9892,SW,S,5.627E-74,1
