name,x,y,a,b,theta
IC2247,124.5119777,124.8494579,3.0466050125,0.6109564343362859,1.004434595
IC540,123.8727119,123.9521817,7.34638567,2.1279976895611235,1.398564321
IC944,124.0973386,125.5343244,5.354603575,1.7132784547145803,0.3155951453
NGC1542,61.96809589,63.21422701,5.31021918,2.046347003774279,0.6371564574
NGC3067,157.4139237,154.6183019,7.00128648,2.741618611381124,0.2997800259
NGC3079,362.7641709,373.9848316,17.85942556,4.847481768532552,1.44913309
NGC3169,251.7769472,250.7991301,8.782149165,5.671641565551477,-0.6549876074
NGC3495,311.1081865,312.1339198,7.24814404,2.8673732780953523,-1.151203335
NGC3626,186.8023558,187.36809,5.725498495,3.1629571490303383,1.350783062
NGC4605,247.8000215,243.6538963,40.97998511,17.11777055950636,0.6481787581
NGC4772,249.6035397,249.3292726,5.203553685,3.4456435348550567,0.9840669936
NGC6314,123.6776214,124.8720238,6.274832365,3.5089023118150493,1.472309535
NGC681,124.0549725,123.9380259,5.14731869,3.4071723124053244,-0.3762620007
UGC10205,123.6735507,124.9283682,5.73191195,4.2263916609784005,0.7529837518
UGC10297,123.0197766,121.6547249,23.623450635,4.77553940472259,-1.557565254
UGC3107,92.707451,95.03471806,4.400454018,1.0664452913363194,-0.3108894118
UGC5111,121.4277981,124.8300006,5.235381525,1.3635068535041837,0.5269091823
UGC5498,233.5731181,168.413711,8.59501363,1.7658720325512633,-0.5212772574
UGC6036,124.899053,124.0852373,4.703393689,1.2680122740456958,0.1718956932
UGC8267,125.5158475,124.4456971,5.192477345,1.1846729198792294,-0.8727761097
UGC8778,93.38082396,92.75113333,4.7955587825,1.2179987739993354,0.5049532358
UGC9665,124.0937537,123.6202168,5.108093855,1.140131981379909,0.9329212101
