name,x,y,a,b,theta
IC4566,124.5208816,124.9530127,5.38961408,3.6841527013607864,1.030677966
NGC2553,249.3077828,249.3202008,5.79699701,3.7972790541030172,-0.7184408208
NGC3344,251.7464971,252.1265242,4.084518119,3.774594362869569,-0.8084971968
NGC3346,251.0722778,250.2318105,6.686226225,6.003726749566953,0.4402754553
NGC3351,250.0978767,250.4571899,24.40242743,20.865443893844386,0.3854648873
NGC3359,311.1749655,315.8856274,8.468202585,2.823434443618363,-1.472124261
NGC3367,187.0122997,187.0460563,4.355437348,3.0979952774379855,-0.368690058
NGC3381,181.1982332,187.6123685,22.87263741,16.17239491944328,-0.5018389067
NGC3395,125.4607505,125.0520522,6.213802165,3.743234789118045,-1.242500648
NGC3423,249.7599868,249.1863817,5.25214901,4.126267704858567,-1.118245965
NGC3445,123.5313571,123.2350926,5.907099195,3.910892619821502,0.5528715093
PGC39728,62.01066212,63.44948192,5.127792545,4.655303630875497,0.02785348371
PGC46767,124.5322289,124.7127594,5.174785315,5.110286555404943,1.508662579
PGC49906,61.25100597,60.65268526,4.932248699,4.6021714120485875,0.6554855538
