name,paper_label,pos_label,neg_label,g-r_is_valid,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_mannwhitneyu_stat,g-r_mannwhitneyu_pval,g-r_wasserstein_distance,g-r_mean_wasserstein_distance,g-r_wasserstein_distance_confidence_interval_lower,g-r_wasserstein_distance_confidence_interval_lower,g-r_laplace_smoothed_kld,g-r_label,g-r_score,g-i_is_valid,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_mannwhitneyu_stat,g-i_mannwhitneyu_pval,g-i_wasserstein_distance,g-i_mean_wasserstein_distance,g-i_wasserstein_distance_confidence_interval_lower,g-i_wasserstein_distance_confidence_interval_lower,g-i_laplace_smoothed_kld,g-i_label,g-i_score,g-z_is_valid,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_mannwhitneyu_stat,g-z_mannwhitneyu_pval,g-z_wasserstein_distance,g-z_mean_wasserstein_distance,g-z_wasserstein_distance_confidence_interval_lower,g-z_wasserstein_distance_confidence_interval_lower,g-z_laplace_smoothed_kld,g-z_label,g-z_score,r-i_is_valid,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_mannwhitneyu_stat,r-i_mannwhitneyu_pval,r-i_wasserstein_distance,r-i_mean_wasserstein_distance,r-i_wasserstein_distance_confidence_interval_lower,r-i_wasserstein_distance_confidence_interval_lower,r-i_laplace_smoothed_kld,r-i_label,r-i_score,r-z_is_valid,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_mannwhitneyu_stat,r-z_mannwhitneyu_pval,r-z_wasserstein_distance,r-z_mean_wasserstein_distance,r-z_wasserstein_distance_confidence_interval_lower,r-z_wasserstein_distance_confidence_interval_lower,r-z_laplace_smoothed_kld,r-z_label,r-z_score,i-z_is_valid,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_mannwhitneyu_stat,i-z_mannwhitneyu_pval,i-z_wasserstein_distance,i-z_mean_wasserstein_distance,i-z_wasserstein_distance_confidence_interval_lower,i-z_wasserstein_distance_confidence_interval_lower,i-z_laplace_smoothed_kld,i-z_label,i-z_score,total,score,GOFHER_label
IC4566,sw,NE,SW,1,0.06129802268832673,0.05118430626621108,0.01011371642211565,523.0,0.18461093219867308,0.011090580135642887,0.013697646436823242,0.006317954483331128,0.024388964959135583,inf,SW,1,1,0.0884722750267081,0.07630213907336322,0.012170135953344874,519.0,0.2054979629869862,0.01538614168237534,0.017387604427327865,0.00819523524857355,0.03102192464348919,inf,SW,1,1,0.10128883010902792,0.11212766358382893,-0.01083883347480101,349.0,0.19484921465366878,0.018778818117359312,0.021928358045561376,0.012416100900383283,0.03507971259032327,inf,NE,-1,1,0.027174252338381364,0.025117832807152143,0.0020564195312292206,496.0,0.35897915212367193,0.006869975141162143,0.007767785342200092,0.0038871527659935724,0.012058506500253528,inf,SW,1,1,0.0399908074207012,0.06094335731761787,-0.020952549896916674,262.0,0.008910306133566538,0.02095254989691667,0.02236416708563925,0.011827384515306941,0.0357211699131707,inf,NE,-1,1,0.012816555082319827,0.035825524510465716,-0.02300896942814589,258.0,0.007447881782201745,0.023102677988164823,0.023961770216625506,0.012910092335421746,0.03836127436957287,inf,NE,-1,0,0,-
NGC2553,se,NW,SE,1,-0.01071980402576706,0.009254464840463644,-0.0199742688662307,326.0,0.00048197036576998897,0.019989776342901316,0.020496227058090934,0.013767353588452288,0.02821481964925525,inf,NW,-1,1,0.006266211946139809,0.019028742101997176,-0.012762530155857366,410.0,0.011586635480084135,0.013536703430224107,0.015262328694834924,0.008866903239111964,0.023588866355951144,inf,NW,-1,1,0.009965521126150763,0.023923549163233766,-0.013958028037083002,426.5,0.019556935018859595,0.013970920893596406,0.015098190527437903,0.007246902752622453,0.02678895798770285,inf,NW,-1,1,0.016986015971906868,0.009774277261533527,0.0072117387103733405,852.5,0.01067185805439945,0.008002044146588706,0.008161112224541377,0.00407630593859668,0.012884605447271947,inf,SE,1,1,0.020685325151917826,0.01466908432277012,0.006016240829147706,792.0,0.06325050431028928,0.007242213892695627,0.00812513726921384,0.003949775684331448,0.013968600564223131,inf,SE,1,1,0.0036993091800109545,0.004894807061236596,-0.0011954978812256413,568.0,0.47936938015165176,0.0019068609428777993,0.0031879422228171237,0.0016798851676880066,0.005694667408765342,inf,NW,-1,-2,-1,NW
NGC3344,sw,NW,SE,1,0.015875807743999576,0.013506861880848651,0.0023689458631509248,291.0,0.7115020549608564,0.016131752225976785,0.01810951506994926,0.01086478568815405,0.02817257101221912,inf,SE,0,1,0.023257468296033198,0.009338781315886285,0.013918686980146913,338.0,0.5991929498501124,0.019174600574133414,0.020548178356959986,0.009060259636016569,0.035379554135366524,inf,SE,0,1,0.04297588816877744,0.02713933272306574,0.0158365554457117,340.0,0.5724193950043588,0.01929328316426347,0.022197691041569257,0.010648587872638532,0.04134897976345942,inf,SE,0,1,0.007381660552033631,-0.0041680805649623644,0.011549741116995995,459.0,0.0039659762624661195,0.012296238270241308,0.01281722371421931,0.006799191029864212,0.019784075832820158,inf,SE,0,1,0.027100080424777857,0.013632470842217094,0.013467609582560764,347.0,0.4834599235113045,0.014388616760299141,0.017037030123428623,0.006183722681253783,0.03409697280022162,inf,SE,0,1,0.01971841987274423,0.017800551407179455,0.0019178684655647739,292.5,0.7333671913461839,0.00646771585188879,0.011443904743474618,0.005387261756755813,0.021418168723159495,inf,SE,0,0,0,SE
NGC3346,ne,NE,SW,1,0.04781240375856148,0.04052676669518072,0.0072856370633807635,2294.0,0.13163865234145106,0.01790714586892178,0.020487423829153847,0.012725236311619068,0.029429679257627094,inf,SW,-1,1,0.05244865417661258,0.0306397896382793,0.02180886453833328,2449.5,0.023427535271822026,0.02405678327162166,0.02787011950470017,0.015186408833524501,0.04313439937342596,inf,SW,-1,1,0.07113959074385676,0.04273053388046235,0.028409056863394407,2411.0,0.0376599036306873,0.028409056863394382,0.031175045906130287,0.013755053120633697,0.05456913496735496,inf,SW,-1,1,0.004636250418051119,-0.00988697705690142,0.014523227474952539,2481.0,0.01551705320645255,0.014523227474952537,0.014934604897364308,0.007287963888312473,0.024467580621004518,inf,SW,-1,1,0.023327186985295262,0.0022037671852816335,0.02112341980001363,2479.0,0.015938423037746535,0.021132383314967283,0.022518828804202,0.010605937728070051,0.037471358687950075,inf,SW,-1,1,0.018690936567244132,0.01209074424218305,0.006600192325061082,2175.0,0.35390206432453697,0.008584819617475354,0.011414164324945781,0.006138103548567977,0.019952517212441758,inf,SW,-1,-6,-1,SW
NGC3351,se,N,S,1,-0.05235233048588869,-0.06402646379251738,0.011674133306628684,359422.0,4.244760281060649e-06,0.01169945192383992,0.012100622234908447,0.007186675236589675,0.017794018724573972,inf,S,1,1,-0.0593736504293797,-0.07275704683924207,0.013383396409862372,339036.0,0.017392757870432724,0.01456156836756707,0.015446309459309889,0.00846176416426086,0.02422282306555558,inf,S,1,1,-0.027670401581702517,-0.04362461028577618,0.015954208704073665,329876.0,0.16744378937942273,0.016879292327322125,0.018536438993868858,0.011817071651546369,0.027551941195091162,inf,S,1,1,-0.007021319943491004,-0.008730583046724688,0.0017092631032336845,322237.0,0.5834732288106443,0.005323561198136883,0.006137915299039197,0.00406195397027644,0.008856612287000928,inf,S,1,1,0.024681928904186173,0.0204018535067412,0.004280075397444974,311736.0,0.5515180860381552,0.009448666890120628,0.01030083430586586,0.006988164666711795,0.013907133594120293,inf,S,1,1,0.031703248847677175,0.02913243655346589,0.002570812294211286,299334.0,0.05159658398896911,0.00729485946883698,0.007461337316346709,0.005971522918765051,0.009019563983315444,inf,S,1,6,1,S
NGC3359,w,W,E,1,0.024574289506827846,0.11781329393839715,-0.09323900443156931,214.0,1.4501261263733618e-07,0.0933198203237007,0.09336641786899746,0.06570800215349681,0.1212568024362068,inf,W,1,1,0.025786882659141325,0.13233819521505047,-0.10655131255590915,300.0,1.2763963571173468e-05,0.10655131255590913,0.1061256061801411,0.06566312699498468,0.14563520845801986,inf,W,1,1,-0.05187737014234495,0.11601128472528857,-0.16788865486763352,351.0,0.00012630541434122719,0.1678886548676335,0.16904788345272173,0.09788115839341975,0.23476992159947663,inf,W,1,1,0.0012125931523134805,0.014524901276653339,-0.013312308124339858,662.0,0.549719861842228,0.018764710090745648,0.02419803403884559,0.010294414695744583,0.047726067805955084,inf,W,1,1,-0.07645165964917278,-0.0018020092131085658,-0.07464965043606421,591.0,0.18128722050005885,0.07631900745973133,0.08857850540015653,0.03881427778666274,0.15158210065093736,inf,W,1,1,-0.07766425280148626,-0.016326910489761905,-0.06133734231172435,568.0,0.11500871460484183,0.06141455162707902,0.06543766184173481,0.02819186574099974,0.11537887817021812,inf,W,1,6,1,W
NGC3367,nw,N,S,1,0.028406476919544905,-0.0023102883971345255,0.030716765316679433,404.0,2.7755362379491954e-05,0.030716765316679436,0.030963363481356695,0.01948552224489986,0.04360832866246799,inf,S,-1,1,0.05648607577063439,0.01613785855961133,0.040348217211023066,367.0,0.0009941658751987973,0.04037985687585688,0.04075810110305716,0.023046877664224235,0.059810644814853826,inf,S,-1,1,0.040383966242260705,-0.0029483484526908327,0.04333231469495154,378.0,0.00037165518195626714,0.043422423394780814,0.044721868297179834,0.027480240700585835,0.061865864805225115,inf,S,-1,1,0.028079598851089498,0.018448146956745858,0.00963145189434364,280.5,0.2338215317464024,0.009744706849521705,0.01142461077949877,0.004593891111910535,0.021976319174584532,inf,S,-1,1,0.011977489322715806,-0.000638060055556307,0.012615549378272113,297.0,0.1115152632161072,0.01333466598411218,0.015263501322838203,0.006682292752194446,0.028229443154760312,inf,S,-1,1,-0.016102109528373692,-0.019086207012302167,0.002984097483928475,255.0,0.5680218778464302,0.004865788778005366,0.007699291556353754,0.004008198368420129,0.014675014018934087,inf,S,-1,-6,-1,S
NGC3381,e,NW,SE,1,-0.00966173157853486,-0.009468969695778756,-0.00019276188275610395,163912.0,0.3677391940613992,0.0012668328481938874,0.001765877063448662,0.0011018436060040984,0.00260673000847972,inf,NW,-1,1,-0.05176971252291324,-0.056930108096847135,0.005160395573933892,176023.0,0.22482841028979406,0.005607299102127181,0.0060680018326191715,0.0032477744063431394,0.00996608599310147,inf,SE,1,1,-0.07457952723732425,-0.07658667598448946,0.002007148747165205,169632.0,0.922037203683542,0.004510746047787754,0.005778859228029143,0.0032146387440195236,0.009412310022682113,inf,SE,1,1,-0.042107980944378384,-0.04746113840106838,0.005353157456689996,179527.0,0.06790815734876551,0.005366274154926232,0.005903276986748517,0.0035306264120228263,0.009700175680375914,inf,SE,1,1,-0.06491779565878938,-0.0671177062887107,0.002199910629921309,170428.0,0.8127685133688536,0.0034535630031757364,0.00500007610360409,0.0031493262340157036,0.008011872636250474,inf,SE,1,1,-0.022809814714410997,-0.019656567887642314,-0.003153246826768683,157020.0,0.035368345294882586,0.0032000581245261025,0.0035096233791081957,0.0015523053703042,0.0059116027002941995,inf,NW,-1,2,1,SE
NGC3395,se,W,E,1,0.04472299690783804,0.008382376801483241,0.036340620106354804,995.0,0.0002893969855605966,0.0363406201063548,0.03649507104679351,0.020636374206944794,0.05355033560860273,inf,E,1,1,0.058702638828327186,0.0024145764519205876,0.0562880623764066,1075.0,6.565264533643487e-06,0.0562880623764066,0.05600361628505837,0.03477153448940021,0.07824433885930232,inf,E,1,1,0.09996796479296637,0.019437299707110244,0.08053066508585613,1086.0,3.680520398406293e-06,0.08053066508585612,0.08062170571722117,0.05304477789647839,0.10865373255687306,inf,E,1,1,0.013979641920489142,-0.005967800349562653,0.019947442270051796,925.0,0.004341187793680475,0.019947442270051796,0.0201880861000361,0.009337130413658993,0.032339398358804325,inf,E,1,1,0.05524496788512833,0.011054922905627,0.04419004497950133,968.0,0.0008788979762299717,0.04455111181177919,0.04584511643532081,0.024720704899059698,0.06923401613748882,inf,E,1,1,0.04126532596463918,0.017022723255189654,0.024242602709449525,859.0,0.03367060480666897,0.024942103515091775,0.025823502697459547,0.012424894111842335,0.04302534148404948,inf,E,1,6,1,E
NGC3423,nw,NW,SE,1,0.060848540800957134,0.08391317338980753,-0.023064632588850394,409.0,0.058873356497821216,0.023121741616810527,0.02614957000229659,0.01315144467981079,0.04383818640994775,inf,NW,1,1,0.06840288811551595,0.10949779182961882,-0.04109490371410286,307.0,0.0015269334921692457,0.04109490371410286,0.04161084629408891,0.020219542095594494,0.06285403386037096,inf,NW,1,1,0.04244180439303319,0.06047122543575375,-0.01802942104272056,454.0,0.18541027795645282,0.027826584737813777,0.032041224284212064,0.016110780045352022,0.056671490086641706,inf,NW,1,1,0.007554347314558815,0.02558461843981128,-0.018030271125252465,377.0,0.02197411389685378,0.020278822437185377,0.021288819521817666,0.011441134509140997,0.03336766166203381,inf,NW,1,1,-0.018406736407923955,-0.023441947954053785,0.00503521154612983,573.0,0.875319609580302,0.011121492801336239,0.018203419782756938,0.01088614534064895,0.031187348876872197,inf,SE,-1,1,-0.025961083722482764,-0.049026566393865066,0.023065482671382302,718.0,0.04804109292059518,0.0230654826713823,0.02456334876389377,0.01037945746477344,0.04530751112061828,inf,SE,-1,2,1,NW
