name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_mannwhitneyu_stat,g-r_mannwhitneyu_pval,g-r_wasserstein_distance,g-r_mean_wasserstein_distance,g-r_wasserstein_distance_confidence_interval_lower,g-r_wasserstein_distance_confidence_interval_lower,g-r_laplace_smoothed_kld,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_mannwhitneyu_stat,g-i_mannwhitneyu_pval,g-i_wasserstein_distance,g-i_mean_wasserstein_distance,g-i_wasserstein_distance_confidence_interval_lower,g-i_wasserstein_distance_confidence_interval_lower,g-i_laplace_smoothed_kld,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_mannwhitneyu_stat,g-z_mannwhitneyu_pval,g-z_wasserstein_distance,g-z_mean_wasserstein_distance,g-z_wasserstein_distance_confidence_interval_lower,g-z_wasserstein_distance_confidence_interval_lower,g-z_laplace_smoothed_kld,g-z_label,g-z_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_mannwhitneyu_stat,r-i_mannwhitneyu_pval,r-i_wasserstein_distance,r-i_mean_wasserstein_distance,r-i_wasserstein_distance_confidence_interval_lower,r-i_wasserstein_distance_confidence_interval_lower,r-i_laplace_smoothed_kld,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_mannwhitneyu_stat,r-z_mannwhitneyu_pval,r-z_wasserstein_distance,r-z_mean_wasserstein_distance,r-z_wasserstein_distance_confidence_interval_lower,r-z_wasserstein_distance_confidence_interval_lower,r-z_laplace_smoothed_kld,r-z_label,r-z_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_mannwhitneyu_stat,i-z_mannwhitneyu_pval,i-z_wasserstein_distance,i-z_mean_wasserstein_distance,i-z_wasserstein_distance_confidence_interval_lower,i-z_wasserstein_distance_confidence_interval_lower,i-z_laplace_smoothed_kld,i-z_label,i-z_score,total,score,GOFHER_label
IC2247,SW,NE,SW,0.02771483130978807,0.02140964501456544,0.006305186295222628,486934.0,0.34939698982974976,0.00920926734295037,0.009275823771869973,0.007890183536018825,0.010735617061450948,inf,SW,1,0.04799967076000652,0.031682093330261354,0.016317577429745163,531854.0,0.010834033022046254,0.017791001191442196,0.017892021302410237,0.015275554380569335,0.02095014895691944,inf,SW,1,0.05486524066139685,0.02773897944203461,0.02712626121936224,586795.0,9.824809637128397e-12,0.027126261219362225,0.027074568538157165,0.02255253914770713,0.031296918515203595,inf,SW,1,0.02028483945021845,0.010272448315695914,0.010012391134522534,629116.0,6.03522408212623e-24,0.010012391134522533,0.010009010455210667,0.008377302287902523,0.011638701959681155,inf,SW,1,0.027150409351608774,0.006329334427469176,0.020821074924139597,702371.0,4.793117306426496e-56,0.020821074924139593,0.020760747377263137,0.01798592521909899,0.02334553056650084,inf,SW,1,0.006865569901390323,-0.00394311388822674,0.010808683789617062,766196.0,2.15838515000723e-95,0.010808683789617062,0.010810008022315251,0.009636685339519124,0.011888426470719988,inf,SW,1,6,1,SW
IC540,SW,E,W,0.04414797770587059,0.02265860143908542,0.021489376266785168,700103.0,3.548880020477535e-68,0.02217466652097774,0.02222968464533545,0.019817713388909988,0.024654625983066544,inf,W,1,0.05136130937403541,0.011879895543054918,0.039481413830980486,771683.0,1.3488521131776785e-118,0.04022222174836193,0.040320902858470335,0.036896262671707585,0.04359254597956334,inf,W,1,0.06506115201557044,0.010355284792813349,0.054705867222757096,768737.0,3.043492831812757e-116,0.0547058672227571,0.054664262864995254,0.04950450919818389,0.05969923551143134,inf,W,1,0.00721333166816481,-0.010778705896030505,0.017992037564195314,788759.0,1.0424898852296397e-132,0.018014726399139494,0.018031632089057233,0.016535792016450758,0.019443783297118305,inf,W,1,0.020913174309699863,-0.012303316646272074,0.033216490955971935,767896.0,1.4152041673050548e-115,0.03321649095597193,0.033189846001894494,0.030262866216747397,0.03630501937705963,inf,W,1,0.013699842641535051,-0.0015246107502415686,0.01522445339177662,681042.0,3.9813949981803736e-57,0.015269806825454223,0.015305441819953313,0.013546441297665213,0.017248878929071076,inf,W,1,6,1,W
IC944,SW,N,S,0.015798660730079683,0.0035182664688002195,0.012280394261279463,2107021.0,1.4396940905512114e-288,0.012880826767059293,0.012888779737015034,0.01215995945421959,0.013641711069381945,inf,S,1,0.02686781810608595,0.004122171013490635,0.022745647092595314,2220392.0,0.0,0.023549223337041576,0.0235579562340774,0.02229428725355551,0.02477161414893351,inf,S,1,0.02583175941171481,-0.007086501810102142,0.03291826122181695,2234017.0,0.0,0.03407555866622241,0.03411812716843228,0.032439215093109354,0.03587127554343751,inf,S,1,0.011069157376006267,0.0006039045446904152,0.010465252831315853,2170788.0,0.0,0.010673019008057411,0.010685413959768887,0.010133297176575415,0.011231095218590907,inf,S,1,0.01003309868163513,-0.010604768278902362,0.02063786696053749,2198233.0,0.0,0.021195428996379637,0.021228493934472924,0.020079818367596234,0.022271042081097488,inf,S,1,-0.0010360586943711373,-0.011208672823592777,0.01017261412922164,2007955.0,2.7149503718754894e-229,0.01046357949799296,0.01045576106289383,0.009859774946062176,0.011146429957083403,inf,S,1,6,1,S
NGC1542,SW,NE,SW,0.0640068217744328,0.0222465414549674,0.0417602803194654,255008.0,8.519768890129195e-108,0.04176028031946541,0.04178858043451251,0.038542956556385566,0.04491783881560619,inf,SW,1,0.10539703863213727,0.03386628682695641,0.07153075180518087,255881.0,1.8555242207899945e-109,0.07153075180518087,0.07153379676791428,0.0663991416261073,0.07681533440392622,inf,SW,1,0.11903675137270374,0.02623787891306693,0.0927988724596368,263980.0,1.7192682736529096e-125,0.0927988724596368,0.09275099810669962,0.08684593672073121,0.09867715989316196,inf,SW,1,0.04139021685770447,0.01161974537198901,0.02977047148571546,251190.0,1.1152816394133024e-100,0.029770471485715454,0.02978703616976465,0.027286383698093535,0.032419642503614336,inf,SW,1,0.055029929598270924,0.003991337458099532,0.051038592140171396,267219.0,3.254953903322531e-132,0.051038592140171396,0.05101078441846478,0.04789959567966928,0.054455924303938134,inf,SW,1,0.013639712740566468,-0.007628407913889479,0.021268120654455946,258763.0,4.901716532118665e-115,0.021268120654455946,0.021296136618442783,0.019461132279363923,0.02319568237493799,inf,SW,1,6,1,SW
NGC3067,NE,N,S,0.03361980493583767,0.060542777625187734,-0.026922972689350066,1658063.0,2.3884327319423593e-104,0.026922972689350066,0.026925925713703416,0.02455929534624973,0.02950189805777726,inf,N,1,0.04426074870982384,0.0810609404956098,-0.03680019178578596,1649586.0,3.8578363918112743e-106,0.036800191785785946,0.03686900037254131,0.03366733206070768,0.040090149650844766,inf,N,1,0.050535340605341844,0.0968784546996074,-0.04634311409426556,1572191.0,3.2492421028460744e-123,0.04634311409426557,0.04629763080904858,0.04254028035435814,0.05033309814810903,inf,N,1,0.010640943773986174,0.020518162870422064,-0.00987721909643589,1857501.0,1.1735839304833307e-66,0.009877219096435887,0.009884306264965777,0.008809903313561674,0.010984423082548472,inf,N,1,0.016915535669504177,0.036335677074419676,-0.0194201414049155,1617523.0,4.669509504852065e-113,0.0194201414049155,0.019400641224955214,0.017823969437260483,0.02108676776373014,inf,N,1,0.006274591895518001,0.015817514203997612,-0.00954292230847961,1769128.0,2.656791398318096e-82,0.009542922308479612,0.009522634604146818,0.008575643744823445,0.010385123829529545,inf,N,1,6,1,N
NGC3079,SW,E,W,0.07405179684999544,0.03912803460641532,0.03492376224358012,17821550.0,3.230991478982682e-143,0.03492376224358012,0.03488900268420927,0.03251647240290355,0.03719544478009707,inf,W,1,0.1837351127034073,0.11287622364687162,0.07085888905653569,18612239.0,5.157016660621091e-205,0.0708588890565357,0.07085509310528508,0.06716124513331642,0.0746268316309007,inf,W,1,0.25059744076332086,0.16345884605572802,0.08713859470759283,18152427.0,1.016795204018453e-167,0.08713859470759287,0.08713419591793473,0.0819764636560191,0.09235204198960774,inf,W,1,0.10968331585341187,0.07374818904045631,0.03593512681295556,17756753.0,1.1992272855356584e-138,0.035935126812955576,0.035946612810033175,0.03358253047706729,0.03852014685961339,inf,W,1,0.17654564391332545,0.1243308114493127,0.05221483246401275,17407596.0,2.58467419558015e-115,0.052261387862562875,0.05225180062302338,0.048469295860431125,0.05628200354214032,inf,W,1,0.06686232805991357,0.050582622408856394,0.01627970565105718,16931444.0,5.343731662822667e-87,0.01682574712182488,0.016848306171534943,0.015250669715775647,0.01846336319658406,inf,W,1,6,1,W
NGC3169,SE,NW,SE,0.0332391338190988,0.008258253722440682,0.024980880096658116,20955850.0,0.0,0.024980880096658116,0.02495942189532871,0.023929219284868068,0.026023503236720695,inf,SE,1,0.04601043216992829,0.010390300185869976,0.03562013198405831,20985554.0,0.0,0.03562013198405832,0.035662835773278494,0.03420294742405816,0.03723829592383971,inf,SE,1,0.05274149734340477,0.01091789327758637,0.0418236040658184,21057755.0,0.0,0.0418236040658184,0.04184752265547708,0.04001799364394331,0.043679740062192475,inf,SE,1,0.012771298350829496,0.0021320464634292935,0.010639251887400203,21018148.0,0.0,0.010639251887400203,0.010640115680556306,0.01016528843510499,0.01108299800283751,inf,SE,1,0.019502363524305972,0.0026596395551456886,0.016842723969160284,21116659.0,0.0,0.01684272396916028,0.016849148516450925,0.01614764629173656,0.01755733304964369,inf,SE,1,0.006731065173476476,0.0005275930917163954,0.00620347208176008,21024725.0,0.0,0.006216067455900695,0.006224768937302123,0.005974911165424595,0.006469861956268758,inf,SE,1,6,1,SE
NGC3495,NW,NW,SE,0.009756042228751547,0.029570222779390653,-0.019814180550639104,1836457.0,1.5322871772992734e-107,0.020238839926232703,0.0203227085038368,0.018618353103177915,0.022034124470287346,inf,NW,1,0.00036650608608081555,0.03798770706058003,-0.03762120097449921,1392193.0,3.3461271901349696e-214,0.03777116827368407,0.03781844966988259,0.035559626423799624,0.03992241280025523,inf,NW,1,-0.021513340711839763,0.037673642637607176,-0.05918698334944694,1125295.0,5.74240736454148e-296,0.059186983349446935,0.05924532671485373,0.056464800561451985,0.061966791023068644,inf,NW,1,-0.009389536142670732,0.008417484281189382,-0.017807020423860113,1482072.0,1.1766662896824994e-189,0.018221676306881054,0.018261929543368964,0.017132974609610503,0.01940732638615577,inf,NW,1,-0.03126938294059131,0.008103419858216526,-0.03937280279880784,1154347.0,2.0110212603376857e-286,0.03937280279880784,0.03942743496283561,0.03749307457853774,0.04128647793881027,inf,NW,1,-0.021879846797920575,-0.00031406442297285685,-0.021565782374947717,1683866.0,4.97348800019622e-140,0.021565782374947724,0.021553712105738077,0.020042317931416087,0.023034918289661272,inf,NW,1,6,1,NW
NGC3626,W,E,W,0.0036980306820963977,0.003608336667065665,8.96940150307327e-05,9627712.0,2.3881526879201068e-60,0.000997316647317364,0.0010118648226806653,0.0007618182416912935,0.001317379368392249,inf,W,1,0.004259065873611978,0.0038686961581385067,0.0003903697154734715,10058382.0,4.306493331056023e-94,0.0013680197109720356,0.0013976480092258306,0.0011180172763492818,0.001736078966078325,inf,W,1,0.0026895850058160174,0.0017423225463977711,0.0009472624594182462,10640114.0,9.269002303298391e-152,0.001457258660110147,0.0015042766814444214,0.0013400153810923647,0.0017450459584981875,inf,W,1,0.0005610351915155807,0.0002603594910728416,0.0003006757004427391,10210672.0,7.592097717413716e-108,0.00047208698482441595,0.000481237392077747,0.0004104143255468455,0.0005791929720095252,inf,W,1,-0.0010084456762803804,-0.001866014120667894,0.0008575684443875135,10153692.0,1.3736165922930819e-102,0.000904337112931387,0.0009228757126821921,0.0007624782693173596,0.0011159354257477922,inf,W,1,-0.0015694808677959614,-0.0021263736117407353,0.0005568927439447739,9569914.0,2.1270223057643825e-56,0.0005879108381399681,0.000599451400743394,0.00042413957447988513,0.0007919632652283688,inf,W,1,6,1,W
NGC4605,NE,NE,SW,0.04204568683846029,0.045272189658974095,-0.003226502820513802,14459138.0,1.007689669622762e-30,0.0077862861718461145,0.007836360221034556,0.0071353929554074155,0.008520125318043654,inf,NE,1,0.0699686235286985,0.08076538173758517,-0.010796758208886675,13687384.0,1.1393860837085452e-56,0.01478419211063932,0.01482594585727929,0.013536825318384857,0.01620640774177212,inf,NE,1,0.0841621821230901,0.10029952022316851,-0.01613733810007842,13223495.0,3.476990452884786e-76,0.0197255717516193,0.01980074862501145,0.018118025668329134,0.021419744101712015,inf,NE,1,0.0279229366902382,0.03549319207861108,-0.007570255388372884,12715119.0,5.885281302887055e-101,0.007843887254247155,0.007853279391370666,0.007205213266590903,0.008521554900090461,inf,NE,1,0.042116495284629796,0.055027330564194406,-0.01291083527956461,12157498.0,3.355190067425919e-132,0.013195670706513684,0.013228350679969473,0.012219124972629059,0.014213484921917369,inf,NE,1,0.014193558594391599,0.019534138485583316,-0.0053405798911917175,11723340.0,1.7682973973799802e-159,0.005410634955205738,0.005408856848817859,0.005022012886759354,0.005833630880285286,inf,NE,1,6,1,NE
