name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_mannwhitneyu_stat,g-r_mannwhitneyu_pval,g-r_wasserstein_distance,g-r_mean_wasserstein_distance,g-r_wasserstein_distance_confidence_interval_lower,g-r_wasserstein_distance_confidence_interval_lower.1,g-r_laplace_smoothed_kld,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_mannwhitneyu_stat,g-i_mannwhitneyu_pval,g-i_wasserstein_distance,g-i_mean_wasserstein_distance,g-i_wasserstein_distance_confidence_interval_lower,g-i_wasserstein_distance_confidence_interval_lower.1,g-i_laplace_smoothed_kld,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_mannwhitneyu_stat,g-z_mannwhitneyu_pval,g-z_wasserstein_distance,g-z_mean_wasserstein_distance,g-z_wasserstein_distance_confidence_interval_lower,g-z_wasserstein_distance_confidence_interval_lower.1,g-z_laplace_smoothed_kld,g-z_label,g-z_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_mannwhitneyu_stat,r-i_mannwhitneyu_pval,r-i_wasserstein_distance,r-i_mean_wasserstein_distance,r-i_wasserstein_distance_confidence_interval_lower,r-i_wasserstein_distance_confidence_interval_lower.1,r-i_laplace_smoothed_kld,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_mannwhitneyu_stat,r-z_mannwhitneyu_pval,r-z_wasserstein_distance,r-z_mean_wasserstein_distance,r-z_wasserstein_distance_confidence_interval_lower,r-z_wasserstein_distance_confidence_interval_lower.1,r-z_laplace_smoothed_kld,r-z_label,r-z_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_mannwhitneyu_stat,i-z_mannwhitneyu_pval,i-z_wasserstein_distance,i-z_mean_wasserstein_distance,i-z_wasserstein_distance_confidence_interval_lower,i-z_wasserstein_distance_confidence_interval_lower.1,i-z_laplace_smoothed_kld,i-z_label,i-z_score,total,score,GOFHER_label,g-r_is_valid,g-i_is_valid,g-z_is_valid,r-i_is_valid,r-z_is_valid,i-z_is_valid
IC1151,nw,NW,SE,0.0226436077276933,0.0212205679868307,0.0014230397408626,6200013.0,0.0099387661762666,0.0038071448234099,0.0038540783784007,0.0031488243282802,0.0045480714936511,inf,SE,-1,0.024850312949578,0.0242134852796515,0.0006368276699264,6095619.0,0.1862957290291734,0.0050333311743015,0.0051168233695439,0.0040791120593361,0.0061659564328061,inf,SE,-1,0.0076728161586971,0.0093337901953008,-0.0016609740366036,5913698.0,0.3855533322284057,0.0057346742297733,0.0058561898497019,0.0047134487149297,0.0069753895730195,inf,NW,1,0.0022067052218846,0.0029929172928208,-0.0007862120709361,5890718.0,0.2525142890770941,0.0013731889076628,0.0014834051672232,0.0011192812000854,0.0018749630076149,inf,NW,1,-0.0149707915689961,-0.0118867777915299,-0.0030840137774662,5593856.0,2.395049693652165e-06,0.003365710892119,0.0034581654470074,0.0026007665370283,0.0043883602693541,inf,NW,1,-0.0171774967908808,-0.0148796950843507,-0.0022978017065301,5565361.0,4.197162897468833e-07,0.002300702776439,0.0023474593910323,0.0015593469760317,0.0031872283678947,inf,NW,1,2,1,NW,,,,,,
IC1199,ne,E,W,0.0158375933823291,0.0215008805833238,-0.0056632872009947,1147254.0,4.093675524263456e-39,0.0056632872009947,0.0056487101989966,0.004893640504873,0.0063943340743363,inf,E,1,0.0196482560532512,0.0283604223466627,-0.0087121662934115,1073093.0,1.4971047973624467e-54,0.0087121662934115,0.0087276772389137,0.0077846081093501,0.0096970333039522,inf,E,1,0.008972651900836,0.0193796031021181,-0.010406951201282,1079433.0,3.9635464033702374e-53,0.010406951201282,0.0104135249508848,0.0092217220250833,0.0115759571477159,inf,E,1,0.0038106626709221,0.0068595417633389,-0.0030488790924167,1149327.0,1.0132760509504903e-38,0.0030626243969818,0.0030761949998304,0.0026556943238257,0.0034979919753419,inf,E,1,-0.006864941481493,-0.0021212774812057,-0.0047436640002872,1147543.0,4.646343439809272e-39,0.0047547906016943,0.0047636103047571,0.0041172977399665,0.0054219288499978,inf,E,1,-0.0106756041524151,-0.0089808192445446,-0.0016947849078705,1365822.0,6.530745761571362e-09,0.0018413595135204,0.0018572665802156,0.0013446773656537,0.002364393401382,inf,E,1,6,1,E,,,,,,
IC1256,n,N,S,0.0080841282090578,0.0083843278154955,-0.0003001996064376,1555921.0,0.6441386218428751,0.0014451441080708,0.0015239311025547,0.0011548542402397,0.0019575791713715,inf,N,1,0.0080887030906922,0.0083432680572259,-0.0002545649665336,1570580.0,0.9845575637513512,0.0022664725742951,0.0024195441455511,0.0018728514893921,0.0029818187522267,inf,N,1,0.0014879100763298,0.0021121135045776,-0.0006242034282477,1542155.0,0.3607651811579574,0.0023489193902425,0.0024700068972343,0.0018789611463063,0.0031174547030222,inf,N,1,4.574881634361061e-06,-4.105975826957803e-05,4.5634639903939086e-05,1595050.0,0.4106247745493487,0.0010296761527892,0.0010396912248355,0.0007707880451294,0.0013362779042791,inf,S,-1,-0.006596218132728,-0.0062722143109178,-0.0003240038218101,1541338.0,0.3468416510494841,0.000968001911892,0.0010349746838463,0.0007515451075296,0.0013389234763933,inf,N,1,-0.0066007930143623,-0.0062311545526482,-0.0003696384617141,1535045.0,0.2512348434668305,0.0004044876261262,0.0005032225817337,0.0002849488888695,0.0008374835265474,inf,N,1,4,1,N,,,,,,
IC1528,se,N,S,0.0524910355625126,0.0594463020065874,-0.0069552664440747,2567646.0,4.718720486693598e-21,0.0073184208105289,0.0073893689981909,0.0059213718937203,0.0087949528939548,inf,N,-1,0.0610373246057177,0.0690449238567799,-0.0080075992510622,2621661.0,7.797022525613478e-17,0.0085014703841574,0.0085768334501379,0.00682803174061,0.0104318621680801,inf,N,-1,0.0487951013659668,0.0560410628194538,-0.0072459614534869,2761425.0,3.073064663090542e-08,0.0075748912272774,0.0076709510519512,0.0056287954365765,0.0099926649449575,inf,N,-1,0.008546289043205,0.0095986218501925,-0.0010523328069874,2854240.0,0.0002334712240036,0.0012581234363782,0.0013082001080523,0.0007476375299251,0.0019254282026816,inf,N,-1,-0.0036959341965457,-0.0034052391871336,-0.0002906950094121,3034988.0,0.9501807925498388,0.0008442194185672,0.0011715729403332,0.0006898270228891,0.0017366619757263,inf,N,-1,-0.0122422232397508,-0.0130038610373261,0.0007616377975752,3089959.0,0.299446985798485,0.0008116918057148,0.0010461468109664,0.0005686089914441,0.0018387643315378,inf,S,1,-4,-1,N,,,,,,
IC2095,se,NW,SE,-0.0381301319072775,-0.0315598778911358,-0.0065702540161417,256519.0,5.927372645745802e-05,0.0065921534575614,0.0066669693887565,0.0043247810046199,0.0090320216067167,inf,NW,-1,-0.0993465038024892,-0.0848722454920039,-0.0144742583104853,267640.0,0.0064575405337599,0.014855144608538,0.015173141283031,0.0096118514548989,0.0214968642300389,inf,NW,-1,-0.2346458391648714,-0.2349214088214452,0.0002755696565737,293992.0,0.7353778031651667,0.0082541204445056,0.009522246840801,0.0055012305957556,0.0140644109725059,inf,SE,1,-0.0612163718952117,-0.0533123676008681,-0.0079040042943435,275254.0,0.0659199377337217,0.0083083004126757,0.0087102423860743,0.0052087244022537,0.012559432500508,inf,NW,-1,-0.1965157072575939,-0.2033615309303094,0.0068458236727154,305487.0,0.0942247723482975,0.0073863235146604,0.0090164285027418,0.0046435903257413,0.0145122809363804,inf,SE,1,-0.1352993353623821,-0.1500491633294412,0.014749827967059,321078.0,0.0004922235006271,0.0147504406606281,0.0149514396036891,0.0074088730253324,0.0232920925510944,inf,SE,1,0,0,-,,,,,,
IC2487,ne,E,W,0.0153117409772945,0.0287068804677822,-0.0133951394904877,1016790.0,7.304490775914281e-71,0.0133951394904877,0.0134118252161662,0.0120958383420584,0.0147141632168423,inf,E,1,0.0220698289186383,0.04251337403674,-0.0204435451181017,935700.0,3.253437740370133e-93,0.0204435451181017,0.0204704375356513,0.018762418210234,0.0222599205107895,inf,E,1,0.0105512134570642,0.0392968550571465,-0.0287456416000823,821447.0,5.3929490805603866e-130,0.0287456416000823,0.0287466687571007,0.0265996542919821,0.0309778127736377,inf,E,1,0.0067580879413437,0.0138064935689577,-0.0070484056276139,995220.0,1.668056343164767e-76,0.0070614989864801,0.0070977620159578,0.0063129495105928,0.0078223247077963,inf,E,1,-0.0047605275202303,0.0105899745893642,-0.0153505021095946,826210.0,2.4477098047986694e-128,0.0153505021095946,0.0153576629392417,0.0141690777606157,0.0165664133495384,inf,E,1,-0.0115186154615741,-0.0032165189795934,-0.0083020964819806,1027081.0,3.0022529173439783e-68,0.0083078353683741,0.0083074748690467,0.0073927002973181,0.0091769928557072,inf,E,1,6,1,E,,,,,,
IC4566,sw,NE,SW,0.0104361972377357,0.0085255128758866,0.001910684361849,3190153.0,4.938352879557338e-20,0.0019258861764042,0.0019618151241437,0.0014127205810542,0.0025559852835835,inf,SW,1,0.0160238361499181,0.013575967742554,0.002447868407364,3258734.0,1.9648294698556287e-26,0.0024680211915061,0.0025345438126599,0.0019149442561163,0.0033606724226521,inf,SW,1,0.01204929261744,0.0089324542914201,0.0031168383260199,3305490.0,2.477297681381367e-31,0.0034275779994197,0.0035570598251233,0.0027934116563436,0.0043925548131166,inf,SW,1,0.0055876389121824,0.0050504548666673,0.000537184045515,3059857.0,1.9422790479810968e-10,0.0005868171272364,0.0006482497321253,0.0004880161648298,0.0008577265360167,inf,SW,1,0.0016130953797043,0.0004069414155334,0.0012061539641709,3158412.0,2.187557427723725e-17,0.0017634954921662,0.0018090244547396,0.0014596215044818,0.0021525284727943,inf,SW,1,-0.003974543532478,-0.0046435134511339,0.0006689699186558,3040776.0,2.5869923463212113e-09,0.0011984072107778,0.0012140145433827,0.0009076401306684,0.0015321460824938,inf,SW,1,6,1,SW,,,,,,
IC5309,se,W,E,0.0059215392225948,0.0049728328639975,0.0009487063585972,1833090.0,0.0003991589671355,0.0022627610453101,0.0023013391934004,0.0016109320004317,0.0030652691861479,inf,E,1,0.0055712745297974,0.0019723954273592,0.0035988791024381,2001521.0,3.034444246075561e-18,0.0051798951297599,0.0051840138367138,0.0042090740689615,0.0061004867530556,inf,E,1,0.0057669896463448,-0.0030796973372083,0.0088466869835532,2156545.0,2.4068938752375406e-41,0.010007457663789,0.0100322912798115,0.0087014587029024,0.0113750805014384,inf,E,1,-0.0003502646927973,-0.0030004374366382,0.0026501727438408,2008488.0,4.497708554992627e-19,0.0026655060909921,0.0027005473447788,0.0021101064005191,0.0032837585482118,inf,E,1,-0.0001545495762499,-0.0080525302012059,0.0078979806249559,2213001.0,3.485218105904325e-52,0.0079218871222451,0.0079141390270527,0.0069582319757293,0.0089863100146232,inf,E,1,0.0001957151165474,-0.0050520927645676,0.0052478078811151,2091729.0,1.6851756019536763e-30,0.0052478078811151,0.0052435025808821,0.004411808016194,0.0060488264897136,inf,E,1,6,1,E,,,,,,
IC674,sw,NE,SW,0.0014184134322587,-0.001366870782483,0.0027852842147417,1152717.0,8.023072313315968e-34,0.0027863820662072,0.0027914205668155,0.0023750705918566,0.0032413808340564,inf,SW,1,0.0047211881171856,0.0024708810841984,0.0022503070329871,1148201.0,1.198452893011798e-32,0.0022503070329871,0.00225228004966,0.0019064753579255,0.002600690036217,inf,SW,1,0.0032146133836397,-0.0013716059386398,0.0045862193222796,1229163.0,5.623604282898874e-57,0.0045862193222796,0.0045846335606586,0.0040568352171916,0.0051376638300817,inf,SW,1,0.0033027746849268,0.0038377518666815,-0.0005349771817546,883067.0,0.2194093079512294,0.0005636003095026,0.0006000538709771,0.0003709203466188,0.0008589670731918,inf,NE,-1,0.001796199951381,-4.735156156801948e-06,0.0018009351075378,1097594.0,5.812860123691906e-21,0.0018400165386806,0.0018626712264441,0.0015360454577019,0.0022124747538426,inf,SW,1,-0.0015065747335458,-0.0038424870228383,0.0023359122892924,1121679.0,3.467521935889802e-26,0.0023359122892924,0.0023430606651317,0.0019305222024553,0.0027702318989457,inf,SW,1,4,1,SW,,,,,,
IC776,sw,N,S,-0.0657904680274784,-0.0725637813326276,0.0067733133051491,904169.0,0.0015611926787935,0.01099510057553,0.0114029664566433,0.0086847097504291,0.0143995347655612,inf,S,1,-0.1228400559691848,-0.1557377020295408,0.0328976460603559,995353.0,2.142111117158964e-15,0.032950622180705,0.0330433038645219,0.0259884106688296,0.0403858861746932,inf,S,1,-0.1675745815255848,-0.1955619276379605,0.0279873461123757,942011.0,2.710369623770932e-07,0.0279873461123757,0.0279230639950676,0.0196536819034852,0.0361671413122371,inf,S,1,-0.0570495879417064,-0.0831739206969131,0.0261243327552067,995642.0,1.8963031885710537e-15,0.0261616060650294,0.0261658528760023,0.0203908461545705,0.0316052778552477,inf,S,1,-0.1017841134981063,-0.1229981463053329,0.0212140328072265,926409.0,1.5155282041391349e-05,0.0212140328072265,0.0213476276402572,0.0132901919577563,0.0292604217368221,inf,S,1,-0.0447345255563999,-0.0398242256084197,-0.0049102999479802,812866.0,0.1067712026477251,0.0192689301728412,0.0195892756406211,0.0140190223357138,0.0253230112904423,inf,N,-1,4,1,S,,,,,,
