name,u-g_is_valid,u-g_pos_gamma_alpha,u-g_pos_gamma_loc,u-g_pos_gamma_beta,u-g_neg_gamma_alpha,u-g_neg_gamma_loc,u-g_neg_gamma_beta,u-r_is_valid,u-r_pos_gamma_alpha,u-r_pos_gamma_loc,u-r_pos_gamma_beta,u-r_neg_gamma_alpha,u-r_neg_gamma_loc,u-r_neg_gamma_beta,u-i_is_valid,u-i_pos_gamma_alpha,u-i_pos_gamma_loc,u-i_pos_gamma_beta,u-i_neg_gamma_alpha,u-i_neg_gamma_loc,u-i_neg_gamma_beta,u-z_is_valid,u-z_pos_gamma_alpha,u-z_pos_gamma_loc,u-z_pos_gamma_beta,u-z_neg_gamma_alpha,u-z_neg_gamma_loc,u-z_neg_gamma_beta,g-r_is_valid,g-r_pos_gamma_alpha,g-r_pos_gamma_loc,g-r_pos_gamma_beta,g-r_neg_gamma_alpha,g-r_neg_gamma_loc,g-r_neg_gamma_beta,g-i_is_valid,g-i_pos_gamma_alpha,g-i_pos_gamma_loc,g-i_pos_gamma_beta,g-i_neg_gamma_alpha,g-i_neg_gamma_loc,g-i_neg_gamma_beta,g-z_is_valid,g-z_pos_gamma_alpha,g-z_pos_gamma_loc,g-z_pos_gamma_beta,g-z_neg_gamma_alpha,g-z_neg_gamma_loc,g-z_neg_gamma_beta,r-i_is_valid,r-i_pos_gamma_alpha,r-i_pos_gamma_loc,r-i_pos_gamma_beta,r-i_neg_gamma_alpha,r-i_neg_gamma_loc,r-i_neg_gamma_beta,r-z_is_valid,r-z_pos_gamma_alpha,r-z_pos_gamma_loc,r-z_pos_gamma_beta,r-z_neg_gamma_alpha,r-z_neg_gamma_loc,r-z_neg_gamma_beta,i-z_is_valid,i-z_pos_gamma_alpha,i-z_pos_gamma_loc,i-z_pos_gamma_beta,i-z_neg_gamma_alpha,i-z_neg_gamma_loc,i-z_neg_gamma_beta
IC1151,1,11.906216302316485,-0.17031146904549083,0.02055293939038621,12.432918005495178,-0.16636904162205213,0.01820578930321678,1,8.910127623254086,-0.17368369255676924,0.02999994806133052,10.836678966773622,-0.17187590900995758,0.022893475981818016,1,6.807869964951621,-0.1721808691666971,0.04035695448088183,9.013435050568111,-0.17621474186068734,0.028938183927577542,1,8.537462733455794,-0.24504623663138375,0.037976033876425494,10.35881408111309,-0.22315415217247686,0.027720504999626548,1,9.215312607420127,-0.06923310822882227,0.009598861413928489,30.405961097185404,-0.10698637833900547,0.004052418358806455,1,8.636886550893152,-0.10238943189180107,0.015116232829765479,31.98621019523178,-0.15973554534221923,0.005764083949259709,1,8.025005699433285,-0.1501970775623337,0.019311331073756533,26.620690643219074,-0.19055708777962482,0.007309068413378831,1,13.43397123513769,-0.06159271140000043,0.005250648964875192,24.040477466919924,-0.06524916700321375,0.0030637297415553474,1,13.612142376560998,-0.12933146942797463,0.008439856875003782,18.015349199870176,-0.11718926516998289,0.005826882883036923,1,22.64342840941937,-0.12344888070489383,0.004418835660756515,23.251480060834464,-0.1163850070771742,0.004118650198951289
IC1199,1,10.460094473631877,-0.12493514722046821,0.01783146780271735,10.354487191378466,-0.11873420044387477,0.017410659886230914,1,10.04291027716452,-0.13247222966219324,0.020136206635174257,8.602332676625029,-0.08766937924947926,0.01937852524378819,1,8.769284346954743,-0.12358414584096904,0.02234107957462842,8.99192429584587,-0.07969343264923914,0.018426819088223766,1,10.207380426760121,-0.16147193836451051,0.022164840389202405,8.467952507498094,-0.08309528924398867,0.019466135944521516,1,24.683759669997063,-0.05800709532991426,0.0026810053457204373,37.3878740114342,-0.04796073928952453,0.001750504096807477,1,18.83745654616223,-0.05964206440918986,0.0037366778898258626,11.112982597922683,-0.023084149711309784,0.004277791722985567,1,27.245921556030485,-0.12168962965081913,0.0045834000652547205,9.904790445802877,-0.031150132511535103,0.005184249367987898,1,53.572632298690436,-0.047450437393502604,0.0009338291197669808,37.080274689068595,-0.039188612180508266,0.0012447750318168242,1,35.19114803914818,-0.09211876792440858,0.00247613122813334,13.241189110883694,-0.034415746194929236,0.002803949829790597,1,61.59950553603125,-0.1023007235109235,0.0015380417213757,26.868120779561956,-0.0441647560380186,0.0014853533002494477
IC1256,1,10.739257748604278,-0.06491465480487452,0.010701551362733352,14.827811066573325,-0.0806533484204393,0.00886672855598589,1,9.432395980716523,-0.08299276805990279,0.014302865174149563,9.261067471513726,-0.06724578285150686,0.013221007903350119,1,8.623898015827079,-0.09508308545525017,0.017055884468755514,10.315860546251196,-0.0870275361220733,0.013877205279897244,1,10.425332358251046,-0.11042541966102214,0.015339844450829436,9.545858668645415,-0.08138618753692427,0.014280121452658471,1,24.945578163750593,-0.05860104815553806,0.0024255402737264286,29.333303394638534,-0.04707164313085836,0.0017538317602778504,1,17.334675753474475,-0.07761565457373625,0.004592454735783562,26.572232933050373,-0.07024191663110545,0.0028431508843156234,1,18.819949871328166,-0.08565468451816836,0.004523932240711185,20.047317614193368,-0.06437261829315903,0.003415999379368812,1,29.10692451294753,-0.04143299455129838,0.0014264852126297108,45.11800530104114,-0.044407005735366864,0.001004918554511834,1,31.613114976221937,-0.05566161897481152,0.0016841635554145661,24.001779436827082,-0.039718038298809474,0.0016437534825724214,1,36.34189382723317,-0.044023173713609906,0.0011423622610503895,25.384939743866322,-0.03631095136893723,0.0013832219823022818
IC1528,1,23.86679524692637,-0.4475116750102776,0.02132012039158542,27.656796730682803,-0.3849560142392951,0.01615445326470316,1,25.12881996089028,-0.4008124416386421,0.020130178635515066,36.41254571802862,-0.4143271480619953,0.014466359534512453,1,25.57811630636081,-0.40935589597433547,0.020214500198982254,35.931209147908454,-0.44028629664231084,0.015453034660323427,1,25.002064975204885,-0.38978820718257273,0.019897720122611613,35.949864066028894,-0.44028629664231084,0.015461250186933943,1,7.133305807020002,-0.029088432510325727,0.010204574784520573,11.489987707743579,-0.05365872168928369,0.00907434700587008,1,6.911264112211424,-0.044539856482676776,0.013152662549350302,9.574331738480547,-0.07428752524351594,0.013308817412406826,1,8.957036931923813,-0.08288613342823097,0.014430078336895228,7.0163306685097675,-0.0773669490388809,0.01868299615611414,1,16.48992081586683,-0.04314334723690734,0.0027775206360752995,28.81539505376382,-0.07278157374823628,0.002613591361613805,1,15.055561288564514,-0.08253278974526897,0.00565860542958345,8.493630370289102,-0.06708834450712095,0.008265259665600565,1,15.062296164800793,-0.07050763618354686,0.004681263626958934,14.766152606487147,-0.06742527841121687,0.004605729223096229
IC2095,1,11.047774614971834,-0.05306659068033388,0.012518874997558854,10.368376732874129,-0.061140714514973715,0.013850838855959398,1,13.218912566854916,-0.14573780556141666,0.014407479748372372,8.065841606152544,-0.1256569654735314,0.020258897398323553,1,7.945317950133873,-0.307464148275815,0.03581825151886694,4.147377631458898,-0.2950646067457611,0.059997234420441935,1,7.534842796746822,-0.4334755366867344,0.04225853126052121,5.142605162379651,-0.4183702398311969,0.05354418100406534,1,12.23520073838309,-0.1395974875675094,0.008097274454358493,9.610498566609088,-0.14941601574826596,0.010893722762595785,1,9.275957975466083,-0.3599957480784421,0.027154055514091738,6.016381904131222,-0.37115874600533505,0.040299191490467234,1,9.790991692318908,-0.5266291600343056,0.033329197362848555,5.758868007685458,-0.48450328889587096,0.044977525019839565,1,11.492435393658413,-0.2603727690346752,0.016774739326309494,5.786361392195911,-0.2519252234646993,0.029024062146125035,1,9.933058077134977,-0.4498386490631498,0.029201590331229262,5.940177658679191,-0.408292294528815,0.03830365981654234,1,9.40906704251928,-0.3595917504190445,0.0284198586250803,5.355557273044026,-0.304267709839183,0.0387424613046803
IC2487,1,11.638008650474276,-0.138876569478581,0.02506655931014691,8.093362369784963,-0.0832889559585705,0.03229570730315172,1,14.948083556793073,-0.18587451949064432,0.02412812074966953,8.580183640922552,-0.06474090162145847,0.03327787274776633,1,11.283086791492035,-0.14525426893042254,0.02892831574830985,8.649631350485725,-0.06123290332562943,0.03445633283994169,1,15.242423683517275,-0.24064617854027764,0.02640986486795097,9.689793225930249,-0.09616022492837194,0.033507881719327864,1,44.40811168006579,-0.13323260519877805,0.003494383801996001,10.781324749446831,-0.034928016289658734,0.007199993469533797,1,24.12636997255993,-0.11287605103298852,0.005851448641982231,8.308805376966548,-0.034074783206972784,0.011167014533682754,1,28.556876345577564,-0.21553114145539137,0.007864552317575367,7.617850548543774,-0.05877329236551805,0.01433548818083468,1,24.392569092081878,-0.05523545917669541,0.002524836223271056,31.34605488949304,-0.05814040000406166,0.002365615576229645,1,22.692544210055157,-0.1263307702582636,0.004999011784040432,22.216201366913065,-0.08896854984869966,0.0043528329118377625,1,38.54312827661499,-0.13253439742226375,0.0029393602776925194,29.689922865442487,-0.08787975567903002,0.0026811219072928293
IC4566,1,21.711909470957686,-0.13965225265717435,0.01075914025824516,17.74272627359222,-0.12663107132681167,0.012069333355396323,1,10.171219868951084,-0.04526100744546417,0.015470621376836524,12.742855750811184,-0.07011265208056526,0.013467692022449842,1,9.075102628859058,-0.03282895790597859,0.0166854050315477,8.563260897427067,-0.03775007556673142,0.016871373546970672,1,13.697626834380445,-0.07303312320644322,0.013686141216763141,7.480156967087238,-0.0365676059538452,0.01855907403981369,1,7.435423890855031,-0.01660076266850762,0.004672984439218853,7.907453887343774,-0.020585874939642194,0.004372870634140307,1,5.606854237703343,-0.015242021214099502,0.007113721539273427,4.8084663062353314,-0.016900314214378136,0.007510171232510472,1,6.687686130841744,-0.03322397460053578,0.008031070674964027,5.055151259206593,-0.033656141047682275,0.009574691812547729,1,17.885797366394986,-0.01790234414600367,0.0013642704721464204,14.406193488778415,-0.01708684534667477,0.0015483992020594891,1,26.324937993125914,-0.05127453750582149,0.002036661412672601,8.376011866883916,-0.03186425281897669,0.0038941240422337804,1,69.84977533688992,-0.06679445964010515,0.000896727099865684,16.21025982949712,-0.03552471315083243,0.00191594685657935
IC5309,1,11.209324730409538,-0.1816104430897521,0.022045565363830122,12.69967788327036,-0.190813454297387,0.020989231173458498,1,11.26495032501219,-0.20104718255548354,0.02475892010355927,13.669676921307959,-0.24197503767691014,0.024102543808381952,1,14.768598733359775,-0.2361360159490476,0.021159784817986898,15.613613575807536,-0.27904718739695195,0.02325245994511266,1,11.573095712323662,-0.21558268282977677,0.02462864942266226,14.893578408036246,-0.3003293646582435,0.024868920589938247,1,17.436316148018328,-0.058924902909210194,0.004088034816372595,15.412700026925261,-0.07947182691890774,0.005918998962014912,1,31.045698156847976,-0.09985312324730393,0.003566098596369739,16.977950467903355,-0.11340810701597352,0.007166520098874253,1,14.9780349064559,-0.09206809191908664,0.006410031007657331,15.936058716914786,-0.1632394107759771,0.009886650584246568,1,25.01176360475347,-0.05342822033809373,0.0020762931378499805,15.69976925923144,-0.05002112602691115,0.0029637323304728775,1,11.586154706339867,-0.06651744545817105,0.005014921569990623,17.315197574869728,-0.10738171466766415,0.005194316679590462,1,14.695869844877206,-0.06305790720192807,0.003820160812965916,17.994664284976107,-0.08446136260195629,0.003918465978777701
IC674,1,15.405214079975057,-0.04087392222101442,0.006969833904485604,24.491738768474256,-0.06064855607047574,0.005108880499637465,1,17.391237615868707,-0.04516710142468065,0.006531672913802127,39.95826772420811,-0.10806079035624021,0.004253613895650159,1,15.964744350973326,-0.0440449921189076,0.007213412252001098,42.57672813709437,-0.10876476392671812,0.004087269026308699,1,12.25312785194286,-0.028410036506437513,0.007941053374911803,44.844383191065944,-0.12559072571834523,0.004128098757784649,1,84.93115007156736,-0.0440535912877779,0.000541409180471024,56.709470862412566,-0.07844059786152728,0.0013378724693299492,1,75.40997620643492,-0.03851334459415061,0.0005719505026641836,94.81689979181209,-0.060616207856242374,0.0006475340967132196,1,21.895883956276105,-0.031105061453137562,0.0015299636276862793,54.85735010528176,-0.08532832372686265,0.0014653064698332706,1,106.73427486957041,-0.04698069924693753,0.00046535394035061823,25.112805257020486,-0.019265936613742474,0.0009006346415820145,1,18.02287617871747,-0.025129854824550518,0.001420183221468786,30.208373593481216,-0.03064464115801931,0.0009358234866663551,1,18.23157991097677,-0.02799955482665573,0.0014138637652640592,91.47208547058787,-0.07971224943927445,0.0008088346040802035
IC776,1,10.192740021342523,-0.22114078876643395,0.020476880205838988,10.366561322563697,-0.2276077215155937,0.020469468195366335,1,9.67743996232643,-0.30577299840905464,0.027871297479668048,9.538598798349073,-0.31087284351944794,0.027495340920049193,1,8.516854573847471,-0.7198916280339289,0.06448180329757495,7.609506053037152,-0.7532786046102489,0.07192738297161973,1,11.364915395075634,-0.745671674091829,0.047500280649310334,12.067586281305783,-0.762366418890348,0.04318758809089463,1,13.166346071386668,-0.18352442649221318,0.0121445621760182,23.948651672457046,-0.193855116428571,0.006708478840257006,1,11.448339841935358,-0.6092052364088578,0.039387459520395116,10.079826693342598,-0.6241144082078418,0.043014368909108314,1,13.075189118057908,-0.6353838142164876,0.033802500241939815,13.313769827818604,-0.6283593958797563,0.03023731459925609,1,12.35245275708056,-0.5185758430800709,0.03108018741851802,9.950300450662162,-0.5365470940667598,0.03811002141068074,1,16.124907796704598,-0.5737133854196641,0.02504997719178105,14.457881883024246,-0.5718572166360971,0.026232512067946797,1,10.182098492472399,-0.35139020241401153,0.03106085509453687,10.657304413367253,-0.4220009429822806,0.03628977865019885
