name,paper_label,pos_label,neg_label,u-g_pos_mean,u-g_neg_mean,u-g_mean_diff,u-g_mannwhitneyu_stat,u-g_mannwhitneyu_pval,u-g_wasserstein_distance,u-g_mean_wasserstein_distance,u-g_wasserstein_distance_confidence_interval_lower,u-g_wasserstein_distance_confidence_interval_lower,u-g_laplace_smoothed_kld,u-g_label,u-g_score,u-r_pos_mean,u-r_neg_mean,u-r_mean_diff,u-r_mannwhitneyu_stat,u-r_mannwhitneyu_pval,u-r_wasserstein_distance,u-r_mean_wasserstein_distance,u-r_wasserstein_distance_confidence_interval_lower,u-r_wasserstein_distance_confidence_interval_lower,u-r_laplace_smoothed_kld,u-r_label,u-r_score,u-i_pos_mean,u-i_neg_mean,u-i_mean_diff,u-i_mannwhitneyu_stat,u-i_mannwhitneyu_pval,u-i_wasserstein_distance,u-i_mean_wasserstein_distance,u-i_wasserstein_distance_confidence_interval_lower,u-i_wasserstein_distance_confidence_interval_lower,u-i_laplace_smoothed_kld,u-i_label,u-i_score,u-z_pos_mean,u-z_neg_mean,u-z_mean_diff,u-z_mannwhitneyu_stat,u-z_mannwhitneyu_pval,u-z_wasserstein_distance,u-z_mean_wasserstein_distance,u-z_wasserstein_distance_confidence_interval_lower,u-z_wasserstein_distance_confidence_interval_lower,u-z_laplace_smoothed_kld,u-z_label,u-z_score,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_mannwhitneyu_stat,g-r_mannwhitneyu_pval,g-r_wasserstein_distance,g-r_mean_wasserstein_distance,g-r_wasserstein_distance_confidence_interval_lower,g-r_wasserstein_distance_confidence_interval_lower,g-r_laplace_smoothed_kld,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_mannwhitneyu_stat,g-i_mannwhitneyu_pval,g-i_wasserstein_distance,g-i_mean_wasserstein_distance,g-i_wasserstein_distance_confidence_interval_lower,g-i_wasserstein_distance_confidence_interval_lower,g-i_laplace_smoothed_kld,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_mannwhitneyu_stat,g-z_mannwhitneyu_pval,g-z_wasserstein_distance,g-z_mean_wasserstein_distance,g-z_wasserstein_distance_confidence_interval_lower,g-z_wasserstein_distance_confidence_interval_lower,g-z_laplace_smoothed_kld,g-z_label,g-z_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_mannwhitneyu_stat,r-i_mannwhitneyu_pval,r-i_wasserstein_distance,r-i_mean_wasserstein_distance,r-i_wasserstein_distance_confidence_interval_lower,r-i_wasserstein_distance_confidence_interval_lower,r-i_laplace_smoothed_kld,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_mannwhitneyu_stat,r-z_mannwhitneyu_pval,r-z_wasserstein_distance,r-z_mean_wasserstein_distance,r-z_wasserstein_distance_confidence_interval_lower,r-z_wasserstein_distance_confidence_interval_lower,r-z_laplace_smoothed_kld,r-z_label,r-z_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_mannwhitneyu_stat,i-z_mannwhitneyu_pval,i-z_wasserstein_distance,i-z_mean_wasserstein_distance,i-z_wasserstein_distance_confidence_interval_lower,i-z_wasserstein_distance_confidence_interval_lower,i-z_laplace_smoothed_kld,i-z_label,i-z_score,total,score,GOFHER_label
IC1151,nw,NW,SE,0.0743962729848481,0.059982044010163306,0.0144142289746848,2109651.0,1.8218312240060504e-08,0.014446660725048336,0.014643201409433747,0.010958477808658872,0.01843067490950822,0.1437417572139444,SE,-1,0.09361967336067964,0.07621334063854684,0.017406332722132795,2098713.0,1.047933802935375e-07,0.01747516640630883,0.018073650592477036,0.01439853649677539,0.022648772483640806,0.10620097212150383,SE,-1,0.10256402912061803,0.08461769945192683,0.017946329668691197,2069939.0,6.7019256564026295e-06,0.019477084523661384,0.019985993565722938,0.015991639111444852,0.02449474500663041,0.09598216747499393,SE,-1,0.07917273735305368,0.06399740535322043,0.015175331999833244,2032367.0,0.000585171224240056,0.01935349823670142,0.019856936920810177,0.015789491978743454,0.023991132561755665,0.06593036761025194,SE,-1,0.01922340037583153,0.016231296628383542,0.0029921037474479883,2030987.0,0.0006755960462903984,0.0060480253960728024,0.006128029883752953,0.005097522257069358,0.007169432187507944,0.17474552434059148,SE,-1,0.028167756135769922,0.024635655441763528,0.003532100694006394,1995769.0,0.016330369999982303,0.008917628763688876,0.00901317286179562,0.007437694622645911,0.010511556284014978,0.39957873835091956,SE,-1,0.004776464368205575,0.004015361343057122,0.0007611030251484527,1926072.0,0.6696064962672814,0.010879759902249231,0.01097683624113978,0.009167769692005653,0.012612309455310906,0.30777348271312893,SE,-1,0.008944355759938395,0.00840435881337999,0.0005399969465584038,1930557.0,0.5797404947671951,0.0028348018399305063,0.0029416655138719532,0.0022186257945055036,0.003657455642535478,0.13507574523889443,SE,-1,-0.014446936007625949,-0.012215935285326421,-0.002231000722299528,1819382.0,0.009426580308497278,0.004709258149463831,0.004789334933928761,0.003712391875986175,0.005936473421998979,0.08929696500764159,NW,1,-0.023391291767564344,-0.02062029409870641,-0.002770997668857935,1760885.0,2.1035427969459582e-05,0.002771000208676617,0.00283495609570408,0.0018018834318584763,0.004061869043787675,0.02646389976612104,NW,1,-6,-1,SE
IC1199,ne,E,W,0.06158369059948029,0.06154425434155006,3.943625793022959e-05,326593.0,0.5332427874000571,0.004046101997036985,0.0051768516220901326,0.003109745400950273,0.007781340647030925,0.16976091150441955,W,-1,0.0697538868973067,0.07903114167996289,-0.009277254782656189,296763.0,0.00017013502107420355,0.011533023347227205,0.01190590313978798,0.0076527486880647215,0.01661648012873685,0.2004405860348408,E,1,0.0723311335668903,0.08599912960531658,-0.013667996038426278,282107.0,1.1533090526707133e-07,0.016022146349601127,0.016381687493718843,0.011717201827201516,0.021106322903157494,0.251258250350764,E,1,0.06477301958649628,0.0817430254387211,-0.016970005852224815,275552.0,2.0984050184149074e-09,0.018851547612076597,0.019270206025910876,0.014549654298961549,0.023933176720661545,0.4218701865338097,E,1,0.00817019629782641,0.017486887338412832,-0.009316691040586422,187183.0,1.008628257773783e-52,0.009316691040586422,0.009321035086466006,0.008213515497991914,0.01050886657588938,0.7649123747627469,E,1,0.010747442967410016,0.02445487526376651,-0.013707432296356493,165994.0,1.2025303905507634e-68,0.013707432296356497,0.013657819800530647,0.012270583496621327,0.015152423158689162,0.8176895806004252,E,1,0.0031893289870160023,0.02019877109717103,-0.017009442110155027,167778.0,3.188620455017748e-67,0.017009442110155027,0.0169871891245011,0.015200089341653485,0.018869508587358873,0.9666934662212903,E,1,0.0025772466695836048,0.00696798792535368,-0.004390741255770075,221209.0,1.213821479952502e-31,0.004390741255770075,0.0043873542554786725,0.0037397811700311235,0.00513947308747748,0.2589160258308335,E,1,-0.004980867310810408,0.0027118837587581965,-0.007692751069568604,209762.0,4.06822042742167e-38,0.007692751069568604,0.007689344726309928,0.006522400999232849,0.008826467928156034,0.5105161495769872,E,1,-0.0075581139803940125,-0.004256104166595483,-0.0033020098137985293,269724.0,4.034314437666168e-11,0.003397166146442791,0.003469789040660588,0.0026457242462941443,0.004329558071282753,0.30673553272410925,E,1,8,1,E
IC1256,n,N,S,0.0500120635894463,0.05082082738631002,-0.0008087637968637179,497540.0,0.6186936671261206,0.0014476070572985934,0.0023285562316350387,0.0013139731572148264,0.003907433233762171,0.1439873966147895,N,1,0.05191751992147588,0.055194863382834795,-0.0032773434613589184,483962.0,0.1228519502598036,0.003306960299092271,0.003821494538168816,0.0018086811513153389,0.0065343973169191445,0.14493045053931977,N,1,0.05200512277302638,0.05612777831704746,-0.004122655544021081,480580.0,0.07134848408939103,0.004166901976599605,0.004543432316143598,0.0021155671876346665,0.007888710089237529,0.16969118109886458,N,1,0.04949755706274775,0.05492983362124498,-0.005432276558497234,473689.0,0.019610918454206015,0.005503078067847805,0.0056982956602952065,0.0028263157643781222,0.008996203061019538,0.22491384375076048,N,1,0.0019054563320295723,0.004374035996524786,-0.0024685796644952143,442214.0,1.9688169436350835e-06,0.002511072721867526,0.002562817548085401,0.0017464786757998105,0.003347207558679944,0.1492364691144543,N,1,0.001993059183580083,0.005306950930737441,-0.0033138917471573575,446673.0,1.0178175210161988e-05,0.003488795722464685,0.0035187772907804586,0.002309487933502684,0.004849122545401871,0.23217145440871625,N,1,-0.0005145065266985464,0.004109006234934964,-0.00462351276163351,432584.0,3.84342581392055e-08,0.004642874079884256,0.004704861479360549,0.0033964197791148815,0.006006149558468831,0.19559244998035547,N,1,8.760285155051063e-05,0.0009329149342126541,-0.0008453120826621435,468059.0,0.005655788995416586,0.0009330519346826291,0.0009828288858639252,0.0005033616831414379,0.0015068563538572694,0.07180246283226854,N,1,-0.002419962858728118,-0.0002650297615898219,-0.002154933097138296,441774.0,1.6639157730067297e-06,0.002155311075275045,0.0021515266953318645,0.0015088186487970615,0.002866274827636294,0.11095989151935781,N,1,-0.002507565710278629,-0.0011979446958024764,-0.0013096210144761527,455385.0,0.00018203974577294684,0.001309621014476151,0.0013194891643464048,0.0007331831820048636,0.0019113789537517016,0.05346056596662531,N,1,10,1,N
IC1528,se,N,S,0.06133127301551119,0.061824415997915376,-0.0004931429824041877,1294193.0,0.7769633525039291,0.010043010005590255,0.010568621920292412,0.007440876864777914,0.014170405564965282,0.1724452189725361,N,-1,0.10503519307377596,0.11242982986187865,-0.00739463678810269,1186432.0,1.3284709507128124e-05,0.014959923167366286,0.015463655579797309,0.011322096560386394,0.01980167902011317,0.15124456152049492,N,-1,0.10769294119018638,0.11495992370764865,-0.007266982517462273,1182713.0,6.927755883367629e-06,0.014922308156160993,0.01572678928867252,0.011845597707432,0.01994879321045903,0.1178909474691337,N,-1,0.10769588418140454,0.11554354586882819,-0.007847661687423652,1174248.0,1.4663158891175385e-06,0.015074131964079158,0.015645993116595928,0.01143183717930934,0.019846259173835316,0.13885707647680395,N,-1,0.04370392005826477,0.050605413863963285,-0.0069014938056985164,1130021.0,8.754678672606659e-11,0.0072314057461399725,0.007382171906938796,0.005463420686757798,0.009147035186845693,0.08447227540536661,N,-1,0.04636166817467519,0.05313550770973329,-0.006773839535058099,1190131.0,2.4913267291725293e-05,0.007509652550893763,0.007804774447483203,0.005684709380125803,0.009933306116587397,0.08995076579833398,N,-1,0.04636461116589334,0.053719129870912825,-0.007354518705019485,1207030.0,0.0003475564087007446,0.007551866258574782,0.007974251380357228,0.00526238478376054,0.010958430742293173,0.07623462824982302,N,-1,0.002657748116410424,0.0025300938457700093,0.00012765427064041464,1330310.0,0.2794851718490948,0.0019158533921906093,0.0020039545207616058,0.0014565165593850042,0.0025670580131128607,0.04396054490135574,S,1,0.00266069110762858,0.0031137160069495467,-0.0004530248993209669,1317004.0,0.5628131454195588,0.0018827294824459479,0.002102686666069671,0.001225788502598716,0.0030834963214284453,0.035025875363203604,N,-1,2.9429912181559296e-06,0.000583622161179537,-0.000580679169961381,1276789.0,0.34673425899748966,0.0007338916483657632,0.0010820994255259465,0.0005938059348279736,0.0018653837186942733,0.01430471903421496,N,-1,-8,-1,N
IC2095,se,NW,SE,0.08523911872570243,0.08247000080994463,0.0027691179157578044,74795.0,0.4661521098638025,0.00305678861900837,0.004926593296643912,0.002776058145586031,0.008534744213134972,0.12939415774092436,SE,1,0.0447134095410506,0.03774809205664225,0.006965317484408352,77392.0,0.1132903850995925,0.007259718134106025,0.008239598291357083,0.004054220197120023,0.014394662407820662,0.15255610301076278,SE,1,-0.02287675154055165,-0.046233418761024374,0.023356667220472725,82426.0,0.0011929818643499398,0.02638369746415751,0.02698887031535259,0.016690097029578764,0.038015119385670176,0.26922401333347973,SE,1,-0.11506414681729576,-0.14301365818430004,0.02794951136700427,83452.0,0.00034587859239390784,0.02804390492727407,0.02815417344702501,0.015149259887991848,0.04296874332509991,0.316344870278055,SE,1,-0.040525709184651815,-0.04472190875330236,0.004196199568650548,78096.0,0.06947750603685736,0.0049288854583905565,0.005354354727974313,0.0026012478025203988,0.008609118092919556,0.10429173813884288,SE,1,-0.10811587026625408,-0.12870341957096898,0.020587549304714903,82659.0,0.0009090940146279176,0.025010658450994858,0.025397815338694864,0.017255595037074387,0.034867752359721595,0.24865596852315108,SE,1,-0.20030326554299818,-0.22548365899424463,0.025180393451246452,84077.0,0.0001543331972334954,0.026306861966031696,0.026675679970562284,0.014385163963210731,0.03850766774886651,0.2818055461912193,SE,1,-0.06759016108160225,-0.08398151081766664,0.01639134973606439,83897.0,0.00019551427189920916,0.01948493155982594,0.019593097534790112,0.01343241522657447,0.025545205709487186,0.20509459208167072,SE,1,-0.15977755635834637,-0.18076175024094232,0.020984193882595953,82818.0,0.0007528217773542875,0.02146193435009603,0.022079193947433382,0.010730683206966393,0.034207070615647775,0.2722082283103719,SE,1,-0.09218739527674415,-0.09678023942327567,0.004592844146531522,74511.0,0.5252501033957149,0.004990282159400344,0.0085713984681156,0.004409170200624254,0.016690932130325332,0.18358387714287683,SE,1,10,1,SE
IC2487,ne,E,W,0.15284826461053522,0.17809190623434704,-0.02524364162381182,497486.0,1.3542441969983363e-12,0.025243673839359184,0.025336234689387137,0.018293392091990168,0.03196916435555454,0.13997293003108446,E,1,0.17479464554380847,0.2207893577336286,-0.045994712189820125,430713.0,5.020960448878645e-31,0.04599471218982013,0.04605938711161394,0.038350363301942955,0.05306705440493183,0.21322768479154092,E,1,0.18114642838944336,0.23680167342950115,-0.05565524504005778,402954.0,3.016451284535551e-41,0.05565524504005774,0.05556225938813437,0.04822566698485606,0.0633893784710744,0.3439093796501767,E,1,0.16190417120146908,0.22852422037084322,-0.06662004916937414,373929.0,1.511240857209719e-53,0.06662004916937417,0.06681449673212626,0.05880094464928991,0.07444901556562974,0.41154596809355665,E,1,0.021946380933273252,0.04269745149928157,-0.02075107056600832,301241.0,1.3470217557136367e-91,0.020751070566008313,0.02075443583784989,0.018954655645499117,0.022598403200521006,0.4739386647931078,E,1,0.028298163778908147,0.058709767195154076,-0.03041160341624593,276523.0,6.730030768085432e-107,0.030411603416245925,0.03037604938765656,0.02778339920082449,0.03279488188926331,0.6911898531492718,E,1,0.00905590659093384,0.050432314136496195,-0.041376407545562356,248173.0,6.327755178960667e-126,0.04137640754556235,0.04132505166727854,0.03834220752740411,0.04438247751857619,0.9681819743557751,E,1,0.006351782845634892,0.0160123156958725,-0.009660532850237609,335214.0,1.5964289061047607e-72,0.009683067585776098,0.009726213645280538,0.008745949740837596,0.010700235147597532,0.33699248962175865,E,1,-0.012890474342339416,0.007734862637214622,-0.020625336979554036,278757.0,1.8207640130470514e-105,0.02062533697955404,0.020666448904783894,0.019109859772106733,0.022230056370654085,0.5920909278157817,E,1,-0.01924225718797431,-0.008277453058657878,-0.01096480412931643,358949.0,1.5325596309345603e-60,0.010988233798510315,0.010990799609160235,0.009827956240034096,0.012224970812543779,0.3471207264765522,E,1,10,1,E
IC4566,sw,NE,SW,0.09398342999233014,0.08747161822239494,0.006511811769935205,588911.0,0.0016317097113745214,0.006566448338628341,0.006817667506543231,0.003305844803525154,0.010708860735329742,0.1320251194932075,SW,1,0.11212446511810374,0.10146385421547742,0.010660610902626322,620597.0,5.069548018112126e-08,0.010702430484089587,0.010902088266781957,0.007111636786590498,0.01467072454021563,0.07700179231679595,SW,1,0.11862230776749069,0.1066831999868239,0.011939107780666786,628703.0,1.5709591335922855e-09,0.012081050596713334,0.01219846709020958,0.008245640070661857,0.016219351713541275,0.13109022515343174,SW,1,0.11447121587066655,0.10220904161851427,0.012262174252152286,629039.0,1.3504034828640603e-09,0.01252284709319947,0.01260765757888188,0.008880004045076509,0.016797179494990686,0.1473884462551953,SW,1,0.018141035125773607,0.013992235993082495,0.0041487991326911115,685624.0,2.804493982324421e-24,0.00418408228658811,0.004247722461947664,0.003161339751612888,0.005433135993527228,0.19538737927720667,SW,1,0.024638877775160543,0.01921158176442896,0.005427296010731584,699013.0,8.232687752275757e-29,0.005472847004449532,0.005593986026811997,0.00415992971847327,0.007157281078029681,0.32026293299371345,SW,1,0.020487785878336412,0.014737423396119335,0.005750362482217077,684301.0,7.475721022676514e-24,0.0062439458471175175,0.006479698722051183,0.004890941648294275,0.008297974349048547,0.25868996830970614,SW,1,0.006497842649386933,0.005219345771346466,0.0012784968780404672,653220.0,5.47433201090152e-15,0.0013470596578235424,0.0014319652336032371,0.0010862781507126758,0.001873015019836895,0.0948591762619713,SW,1,0.002346750752562803,0.000745187403036838,0.0016015633495259653,633458.0,1.7494874292039132e-10,0.0023953461812444964,0.0025630175947659213,0.0019366900493380593,0.0032589655239724643,0.09227654021563568,SW,1,-0.00415109189682413,-0.004474158368309628,0.00032306647148549854,589897.0,0.0012742897143310852,0.0012648836733903822,0.0013151278402257413,0.0008390779093147302,0.0018075380279536052,0.06507109011657894,SW,1,10,1,SW
IC5309,se,W,E,0.06550545793888883,0.0756761371280663,-0.010170679189177467,417781.0,0.001332378771520224,0.01025815249999948,0.010599357809619134,0.005722755758132512,0.016109115643580477,0.18462948433725113,W,-1,0.07786082251205727,0.08742528239238456,-0.009564459880327295,421795.0,0.00402618421081941,0.009983182067992116,0.010996085031660859,0.0059200783515936176,0.016929854456553723,0.14786612401392776,W,-1,0.07636435531203906,0.08394627410930205,-0.007581918797262999,430256.0,0.0296614513594198,0.008943842470113506,0.00998040745212116,0.005875780692333089,0.014911608691426602,0.1389645621695324,W,-1,0.0694470342039584,0.0699642452299612,-0.0005172110260028007,455400.0,0.9284179656472521,0.007346215180990441,0.008585352720989446,0.004912342483551129,0.012883929700517837,0.14783795038884243,W,-1,0.012355364573168447,0.011749145264318276,0.000606219308850171,471522.0,0.21247321166433575,0.0034582176912735193,0.003529079285965481,0.0024032072480937683,0.004828043211919965,0.0764106812856896,E,1,0.010858897373150234,0.00827013698123577,0.0025887603919144634,504213.0,7.580832128947669e-05,0.006745702435848947,0.006821654618756672,0.005248996437718513,0.008324679534681812,0.11397403182216917,E,1,0.00394157626506956,-0.005711891898105101,0.00965346816317466,557090.0,7.339609465787913e-17,0.012334925727393833,0.01233220028498305,0.010231523543451292,0.014464559801613998,0.17738241708567368,E,1,-0.0014964672000182114,-0.003479008283082507,0.001982541083064296,510119.0,8.709440208963698e-06,0.002210709446636057,0.0023198160958635954,0.0016356003951655295,0.0030576159317284852,0.0708971776000287,E,1,-0.008413788308098885,-0.017461037162423376,0.00904724885432449,584005.0,3.9749959466917576e-26,0.00908828029139513,0.009136910934549086,0.007498040777514967,0.010709244861991419,0.18281485722609048,E,1,-0.006917321108080674,-0.01398202887934087,0.007064707771260195,574578.0,1.225837998641967e-22,0.0070647077712601945,0.007073199162372153,0.005759733943393909,0.008326701035532763,0.1367567011729679,E,1,2,1,E
IC674,sw,NE,SW,0.06649786117945473,0.06447681052599728,0.0020210506534574513,295367.0,0.09237681815900213,0.002354948940058667,0.002809018790857754,0.0013860018097332115,0.004896077157090983,0.1119573940276408,SW,1,0.06842677424838566,0.061906252481560696,0.006520521766824959,320548.0,2.7995620736336368e-06,0.006526923195077844,0.006674199593491199,0.004160830381576379,0.00905844591811082,0.19742056990550338,SW,1,0.0711152903824687,0.0652577782295938,0.005857512152874889,318712.0,7.965105467177425e-06,0.006139704664354645,0.0062525336455018544,0.0037065650295837805,0.008573843539178979,0.1748167663596189,SW,1,0.06889270577545917,0.059531316826312825,0.009361388949146343,338731.0,7.245301130151436e-12,0.009361481718681317,0.009398955147476995,0.006852271322241842,0.01186487207118014,0.28031378523159023,SW,1,0.0019289130689309345,-0.0025705580444365756,0.00449947111336751,391468.0,1.9449404105201685e-39,0.00449947111336751,0.004491867735415134,0.0037999527563992988,0.005149922577412582,0.3879586116243862,SW,1,0.00461742920301397,0.0007809677035965281,0.0038364614994174425,403821.5,2.3327460344348374e-48,0.0038364614994174425,0.0038543152130265765,0.0033266123395012445,0.004355592398687984,0.38826894496551656,SW,1,0.0023948445960044373,-0.004945493699684445,0.007340338295688883,423892.0,7.489390826418592e-65,0.007340338295688883,0.0073359523018549,0.006537466273480152,0.008165239212018978,0.6949849855928596,SW,1,0.0026885161340830356,0.0033515257480331035,-0.0006630096139500679,291056.0,0.24238543669835866,0.0009934276006941453,0.0010370438118349166,0.0006989246948839065,0.0014386836775394651,0.11113644446471255,NE,-1,0.00046593152707350246,-0.0023749356552478697,0.0028408671823213724,363047.0,1.8154744951492217e-22,0.0028408671823213732,0.0028711456407780763,0.0023010959002293606,0.0034593291495507807,0.23644510628951745,SW,1,-0.002222584607009533,-0.005726461403280973,0.0035038767962714402,360420.0,3.7838417965682445e-21,0.00350387679627144,0.0035159028270733534,0.0028624129547357184,0.004182456750975056,0.3337509465304548,SW,1,8,1,SW
IC776,sw,N,S,-0.012414850110215054,-0.01540184229458243,0.0029869921843673763,1218003.0,0.16132546953133708,0.0031941478992922154,0.003962915971744306,0.0021509119374078615,0.007221389983896515,0.03318640178215774,S,1,-0.03602135555816892,-0.048609666117818404,0.012588310559649485,1309497.0,3.1565107150040607e-07,0.01259929671666571,0.0127123585138905,0.008277114978181002,0.017297783843959,0.1123220586181051,S,1,-0.17062949417414638,-0.20597651120634078,0.035347017032194394,1347723.0,2.642468639474136e-11,0.03534701703219443,0.03575876412108821,0.025403658494727182,0.04680405701753903,0.14245146830188318,S,1,-0.20577989709051084,-0.2412201950705054,0.03544029797999457,1347688.0,2.6681482227077642e-11,0.035452638348215784,0.03559158374895677,0.026424355513291208,0.04480348777297185,0.20493487752212272,S,1,-0.02360650544795386,-0.03320782382323597,0.009601318375282109,1338013.0,3.5837239056005517e-10,0.010293424853426233,0.010554676697642425,0.008398693145716014,0.012795407272830874,0.2129900127734979,S,1,-0.15821464406393132,-0.19057466891175834,0.03236002484782702,1367575.0,7.964007302291664e-14,0.032360024847827046,0.03259581199964434,0.024876205329590777,0.0402346986868596,0.18646004067908648,S,1,-0.19336504698029577,-0.22581835277592294,0.03245330579562716,1354423.0,4.000954660617311e-12,0.032462434344472865,0.032605361291577636,0.024604378942367305,0.04013875607566461,0.22667920055513124,S,1,-0.13460813861597745,-0.1573668450885224,0.022758706472544937,1339669.0,2.322148747355711e-10,0.02275870647254494,0.022589033200835704,0.015991867736760954,0.029410360670299212,0.07638859867861822,S,1,-0.1697585415323419,-0.19261052895268702,0.02285198742034511,1322948.0,1.5158962776518352e-08,0.02285439959550243,0.02291987874348258,0.016239398618600624,0.029445746918737945,0.12960287944013266,S,1,-0.03515040291636446,-0.03524368386416461,9.3280947800152e-05,1175883.0,0.7575150418138672,0.013546037749113421,0.014270413200019219,0.010235776445082959,0.018727980015924257,0.06394091095399482,S,1,10,1,S
