name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_mannwhitneyu_stat,g-r_mannwhitneyu_pval,g-r_wasserstein_distance,g-r_mean_wasserstein_distance,g-r_wasserstein_distance_confidence_interval_lower,g-r_wasserstein_distance_confidence_interval_lower,g-r_laplace_smoothed_kld,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_mannwhitneyu_stat,g-i_mannwhitneyu_pval,g-i_wasserstein_distance,g-i_mean_wasserstein_distance,g-i_wasserstein_distance_confidence_interval_lower,g-i_wasserstein_distance_confidence_interval_lower,g-i_laplace_smoothed_kld,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_mannwhitneyu_stat,g-z_mannwhitneyu_pval,g-z_wasserstein_distance,g-z_mean_wasserstein_distance,g-z_wasserstein_distance_confidence_interval_lower,g-z_wasserstein_distance_confidence_interval_lower,g-z_laplace_smoothed_kld,g-z_label,g-z_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_mannwhitneyu_stat,r-i_mannwhitneyu_pval,r-i_wasserstein_distance,r-i_mean_wasserstein_distance,r-i_wasserstein_distance_confidence_interval_lower,r-i_wasserstein_distance_confidence_interval_lower,r-i_laplace_smoothed_kld,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_mannwhitneyu_stat,r-z_mannwhitneyu_pval,r-z_wasserstein_distance,r-z_mean_wasserstein_distance,r-z_wasserstein_distance_confidence_interval_lower,r-z_wasserstein_distance_confidence_interval_lower,r-z_laplace_smoothed_kld,r-z_label,r-z_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_mannwhitneyu_stat,i-z_mannwhitneyu_pval,i-z_wasserstein_distance,i-z_mean_wasserstein_distance,i-z_wasserstein_distance_confidence_interval_lower,i-z_wasserstein_distance_confidence_interval_lower,i-z_laplace_smoothed_kld,i-z_label,i-z_score,total,score,GOFHER_label
IC1151,nw,NW,SE,0.01922340037583153,0.016231296628383542,0.0029921037474479883,2030987.0,0.0006755960462903984,0.0060480253960728024,0.006114549105946352,0.0050793762170074945,0.007089233283893771,0.23207059510005132,SE,-1,0.028167756135769922,0.024635655441763528,0.003532100694006394,1995769.0,0.016330369999982303,0.008917628763688876,0.009045049640280075,0.007506190536706835,0.01065830361240723,0.30764876477230924,SE,-1,0.004776464368205575,0.004015361343057122,0.0007611030251484527,1926072.0,0.6696064962672814,0.010879759902249231,0.011010258484028448,0.009341775568550426,0.012889647510988386,0.25215189327619564,SE,-1,0.008944355759938395,0.00840435881337999,0.0005399969465584038,1930557.0,0.5797404947671951,0.0028348018399305063,0.002914388053699852,0.0021877797722179098,0.0036426392725327716,0.21269246476390397,SE,-1,-0.014446936007625949,-0.012215935285326421,-0.002231000722299528,1819382.0,0.009426580308497278,0.004709258149463831,0.004817877176919189,0.0036402466747358147,0.005923330482753591,0.17966587351564314,NW,1,-0.023391291767564344,-0.02062029409870641,-0.002770997668857935,1760885.0,2.1035427969459582e-05,0.002771000208676617,0.0028626775692507816,0.0018168158458738942,0.003975329234567295,0.04784384947489547,NW,1,-2,-1,SE
IC1199,ne,E,W,0.00817019629782641,0.017486887338412832,-0.009316691040586422,187183.0,1.008628257773783e-52,0.009316691040586422,0.009315117020010744,0.008248318588417979,0.01039618209546026,0.9647298398019896,E,1,0.010747442967410016,0.02445487526376651,-0.013707432296356493,165994.0,1.2025303905507634e-68,0.013707432296356497,0.013685577111439301,0.012311466353492022,0.01512882624142373,1.158629961412249,E,1,0.0031893289870160023,0.02019877109717103,-0.017009442110155027,167778.0,3.188620455017748e-67,0.017009442110155027,0.01699500202919554,0.015147171487750117,0.018868492021875596,1.0563368015201113,E,1,0.0025772466695836048,0.00696798792535368,-0.004390741255770075,221209.0,1.213821479952502e-31,0.004390741255770075,0.004414029940567373,0.0036894320371289656,0.005130536748090753,0.3874432229916741,E,1,-0.004980867310810408,0.0027118837587581965,-0.007692751069568604,209762.0,4.06822042742167e-38,0.007692751069568604,0.007717287208238004,0.006654118598856023,0.008854745324722017,0.5594367595688899,E,1,-0.0075581139803940125,-0.004256104166595483,-0.0033020098137985293,269724.0,4.034314437666168e-11,0.003397166146442791,0.0034774690359851124,0.0026540331254771886,0.004272985595427004,0.3748503844447858,E,1,6,1,E
IC1256,n,N,S,0.0019054563320295723,0.004374035996524786,-0.0024685796644952143,442214.0,1.9688169436350835e-06,0.002511072721867526,0.0025062365314691866,0.0016722465606541033,0.0033650672188147153,0.2557390527534018,N,1,0.001993059183580083,0.005306950930737441,-0.0033138917471573575,446673.0,1.0178175210161988e-05,0.003488795722464685,0.0035079524187797027,0.0021847693282224696,0.004783483466467811,0.22658055392749127,N,1,-0.0005145065266985464,0.004109006234934964,-0.00462351276163351,432584.0,3.84342581392055e-08,0.004642874079884256,0.0047158516819513895,0.0033943719429893066,0.006058803775464895,0.19143036049387546,N,1,8.760285155051063e-05,0.0009329149342126541,-0.0008453120826621435,468059.0,0.005655788995416586,0.0009330519346826291,0.0009621278642254607,0.0005081326055876824,0.0014793896857113575,0.16193880132002345,N,1,-0.002419962858728118,-0.0002650297615898219,-0.002154933097138296,441774.0,1.6639157730067297e-06,0.002155311075275045,0.002180318829687142,0.0014810925343766343,0.0028973509253968468,0.20907646303752425,N,1,-0.002507565710278629,-0.0011979446958024764,-0.0013096210144761527,455385.0,0.00018203974577294684,0.001309621014476151,0.0013138122793334667,0.0007462560565706761,0.001937644448091517,0.13084780008599003,N,1,6,1,N
IC1528,se,N,S,0.04370392005826477,0.050605413863963285,-0.0069014938056985164,1130021.0,8.754678672606659e-11,0.0072314057461399725,0.007402928625723314,0.0055160576590046655,0.009420675351027958,0.10398554098456061,N,-1,0.04636166817467519,0.05313550770973329,-0.006773839535058099,1190131.0,2.4913267291725293e-05,0.007509652550893763,0.007837070745630325,0.005683844044367092,0.010244863707310828,0.090350035715497,N,-1,0.04636461116589334,0.053719129870912825,-0.007354518705019485,1207030.0,0.0003475564087007446,0.007551866258574782,0.007944092075678096,0.005120032436464162,0.010839963513168245,0.0844345669515227,N,-1,0.002657748116410424,0.0025300938457700093,0.00012765427064041464,1330310.0,0.2794851718490948,0.0019158533921906093,0.001979088088918064,0.0014355024625989827,0.0025379110582180713,0.048894645525266275,S,1,0.00266069110762858,0.0031137160069495467,-0.0004530248993209669,1317004.0,0.5628131454195588,0.0018827294824459479,0.002112420502559181,0.0012799056330129715,0.0030467511929123487,0.07475962016114036,N,-1,2.9429912181559296e-06,0.000583622161179537,-0.000580679169961381,1276789.0,0.34673425899748966,0.0007338916483657632,0.0010596148693888543,0.0005945270218098727,0.0018627243948363,0.050110167534537536,N,-1,-4,-1,N
IC2095,se,NW,SE,-0.040525709184651815,-0.04472190875330236,0.004196199568650548,78096.0,0.06947750603685736,0.0049288854583905565,0.005381110726605163,0.0027689836308642077,0.00847701514940591,0.11313389492153626,SE,1,-0.10811587026625408,-0.12870341957096898,0.020587549304714903,82659.0,0.0009090940146279176,0.025010658450994858,0.025653772229996527,0.016552384593083676,0.03488702942690021,0.21506886276957515,SE,1,-0.20030326554299818,-0.22548365899424463,0.025180393451246452,84077.0,0.0001543331972334954,0.026306861966031696,0.026951418994963425,0.015275549908792731,0.04016733190661913,0.22980282396207696,SE,1,-0.06759016108160225,-0.08398151081766664,0.01639134973606439,83897.0,0.00019551427189920916,0.01948493155982594,0.01985512474328629,0.013475714712823952,0.026372101882940074,0.19615809986783395,SE,1,-0.15977755635834637,-0.18076175024094232,0.020984193882595953,82818.0,0.0007528217773542875,0.02146193435009603,0.02161742856696402,0.011076535894199784,0.03189031370874657,0.20376664671600525,SE,1,-0.09218739527674415,-0.09678023942327567,0.004592844146531522,74511.0,0.5252501033957149,0.004990282159400344,0.008410239605700295,0.004484844351194928,0.015717626728910115,0.11288910054266,SE,1,6,1,SE
IC2487,ne,E,W,0.021946380933273252,0.04269745149928157,-0.02075107056600832,301241.0,1.3470217557136367e-91,0.020751070566008313,0.020775559899283074,0.018995402956220875,0.022615567224907523,0.5642257073042432,E,1,0.028298163778908147,0.058709767195154076,-0.03041160341624593,276523.0,6.730030768085432e-107,0.030411603416245925,0.03044859254119123,0.02809231087838105,0.03276339897385392,0.9358391881482709,E,1,0.00905590659093384,0.050432314136496195,-0.041376407545562356,248173.0,6.327755178960667e-126,0.04137640754556235,0.04146846548196184,0.0384238860209734,0.04443483936765265,1.049915439078679,E,1,0.006351782845634892,0.0160123156958725,-0.009660532850237609,335214.0,1.5964289061047607e-72,0.009683067585776098,0.009710029715237883,0.008707269427556891,0.01073970270764533,0.4949379410324457,E,1,-0.012890474342339416,0.007734862637214622,-0.020625336979554036,278757.0,1.8207640130470514e-105,0.02062533697955404,0.020667719945759926,0.018970563510937472,0.022302475981767184,0.825316471876935,E,1,-0.01924225718797431,-0.008277453058657878,-0.01096480412931643,358949.0,1.5325596309345603e-60,0.010988233798510315,0.011021569616425236,0.009747110662683401,0.012241544750173972,0.45013166784761227,E,1,6,1,E
IC4566,sw,NE,SW,0.018144857472454035,0.013992397955142004,0.004152459517312031,685431.0,3.2294175590916696e-24,0.004187691260009875,0.004243095469376262,0.003086667804152545,0.005399072172426631,0.28536912982767515,SW,1,0.024643578544217254,0.01921209111120634,0.005431487433010914,698745.0,1.0210338587621964e-28,0.005476982636042941,0.005577423295224459,0.004090381330767061,0.007208064609268367,0.38454157248371085,SW,1,0.020485305368230986,0.014745374325033424,0.005739931043197562,683770.0,1.1024487600755448e-23,0.0062298799424329275,0.006443955916408267,0.0048957081256536285,0.008064243978451062,0.3433270312089606,SW,1,0.0064987210717632185,0.005219693156064336,0.0012790279156988825,652978.0,6.280260971141836e-15,0.0013470654105425047,0.0014384912848055414,0.0010993183141148636,0.0019250218471315323,0.1809056949703467,SW,1,0.002340447895776949,0.000752976369891418,0.0015874715258855309,632747.0,2.4434235243229546e-10,0.002376818476040878,0.002552427526230256,0.001885459132131998,0.003249665130378182,0.18840592803574252,SW,1,-0.004158273175986269,-0.004466716786172919,0.0003084436101866506,589087.0,0.0015605987623676346,0.0012485126446963092,0.0013168968404206097,0.0008422757112082357,0.0018076688100181777,0.09731190079111125,SW,1,6,1,SW
IC5309,se,W,E,0.012355364573168447,0.01175592854231011,0.0005994360308583368,471879.0,0.2164736543709488,0.003445216557400788,0.003514164060706069,0.002410443751142961,0.0047146919114522505,0.14918225868255314,E,1,0.010858897373150234,0.008264716249947394,0.0025941811232028395,504883.0,7.179544130250532e-05,0.006742828495694561,0.006754477157057363,0.005235422369925542,0.008400146374295916,0.15084273491184944,E,1,0.00394157626506956,-0.005685166551803877,0.009626742816873438,557288.0,9.42011039953506e-17,0.012302112173684899,0.012422940806855621,0.010422182817793323,0.014551971524282881,0.1938471511555285,E,1,-0.0014964672000182114,-0.0034912122923627174,0.001994745092344506,511009.0,7.542348458264949e-06,0.0022212621884579275,0.0023130249187757793,0.0015255884207350295,0.0030910068754120413,0.11647315198716579,E,1,-0.008413788308098885,-0.01744109509411399,0.009027306786015106,584249.0,5.327433394797718e-26,0.00906817687218062,0.009154321127321851,0.007525554618507651,0.010755181949449313,0.3059066967338832,E,1,-0.006917321108080674,-0.013949882801751272,0.007032561693670597,574626.0,1.876118769973675e-22,0.007032561693670595,0.007033091120414654,0.005747485769665436,0.00838516684871938,0.2372888168776762,E,1,6,1,E
IC674,sw,NE,SW,0.0019289130689309345,-0.0025705580444365756,0.00449947111336751,391468.0,1.9449404105201685e-39,0.00449947111336751,0.004503358226103154,0.003876101768084758,0.005179202595239921,0.4278109397055583,SW,1,0.00461742920301397,0.0007809677035965281,0.0038364614994174425,403821.5,2.3327460344348374e-48,0.0038364614994174425,0.0038303440610025826,0.003288610019482487,0.004374251911750071,0.4725726348681146,SW,1,0.0023948445960044373,-0.004945493699684445,0.007340338295688883,423892.0,7.489390826418592e-65,0.007340338295688883,0.007338216361894801,0.006515263897547141,0.0081621473446051,1.0413555318159613,SW,1,0.0026885161340830356,0.0033515257480331035,-0.0006630096139500679,291056.0,0.24238543669835866,0.0009934276006941453,0.0010244445308395349,0.0006886659642088389,0.0014192341609154315,0.3033140745774489,NE,-1,0.00046593152707350246,-0.0023749356552478697,0.0028408671823213724,363047.0,1.8154744951492217e-22,0.0028408671823213732,0.002877354966055137,0.002267070543124174,0.0034622284699134765,0.38833588279260867,SW,1,-0.002222584607009533,-0.005726461403280973,0.0035038767962714402,360420.0,3.7838417965682445e-21,0.00350387679627144,0.003513195235840399,0.002848126010777468,0.004200929536419155,0.465185128377163,SW,1,4,1,SW
IC776,sw,N,S,-0.023609879263960628,-0.03320782382323597,0.009597944559275342,1336954.0,3.7899818507450386e-10,0.01029375382138094,0.010588676004437327,0.00857179307545033,0.012701476853428664,0.22129946074318882,S,1,-0.15826643895314327,-0.19057466891175834,0.03230822995861507,1366247.0,9.203453631545601e-14,0.03230822995861511,0.03235891536402181,0.02359656931578234,0.040582929776183635,0.18123314222256953,S,1,-0.19338646534261816,-0.22581835277592294,0.032431887433304774,1353297.0,4.328011607238658e-12,0.03244102191748781,0.03236958227701447,0.024369544018228086,0.04036828836518665,0.21367250702715088,S,1,-0.1346565596891826,-0.1573668450885224,0.02271028539933978,1338340.0,2.6374204901022044e-10,0.022710285399339773,0.022861209156149413,0.016448272447288463,0.029793995544987417,0.07073339666793535,S,1,-0.16977658607865753,-0.19261052895268702,0.022833942874029484,1321872.0,1.6040240740123185e-08,0.022836356617571163,0.02294332999739784,0.01611433255026124,0.029596414982756978,0.1494702005748825,S,1,-0.03512002638947492,-0.03524368386416461,0.00012365747468968957,1175386.0,0.7658162604111178,0.01351530492916744,0.014310667989967286,0.010033393901565636,0.01865824760744234,0.06695471232350947,S,1,6,1,S
